name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BHAKKAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,55983,1749,,45641,1427,,10342,322,
BHAKKAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
BHAKKAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,2,0,,2,0,,0,0,
BHAKKAR,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,352,14,,285,13,,67,1,
BHAKKAR,DISTRICT,FATHER/MOTHER,DIVORCED,189,18,,155,14,,34,4,
BHAKKAR,DISTRICT,FATHER/MOTHER,MARRIED,14401,8522,,12174,7278,,2227,1244,
BHAKKAR,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
BHAKKAR,DISTRICT,FATHER/MOTHER,SEPARATION,109,12,,88,10,,21,2,
BHAKKAR,DISTRICT,FATHER/MOTHER,WIDOWED,21477,3068,,16986,2582,,4491,486,
BHAKKAR,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,4,1,,4,1,,0,0,
BHAKKAR,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,196,139,,171,116,,25,23,
BHAKKAR,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,1,1,,1,1,,0,0,
BHAKKAR,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,7,1,,7,1,,0,0,
BHAKKAR,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,465,101,,388,88,,77,13,
BHAKKAR,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,3,2,0,2,2,0,1,0,0
BHAKKAR,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,254,399,0,217,325,0,37,74,0
BHAKKAR,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,2916,3407,0,2331,2715,0,585,692,0
BHAKKAR,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,3,2,0,1,2,0,2,0,0
BHAKKAR,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,1,2,0,1,1,0,0,1,0
BHAKKAR,DISTRICT,HEAD,DIVORCED,240,450,0,167,335,0,73,115,0
BHAKKAR,DISTRICT,HEAD,MARRIED,5606,283402,0,4386,233743,0,1220,49659,0
BHAKKAR,DISTRICT,HEAD,NEVER MARRIED,312,10912,36,249,8573,12,63,2339,24
BHAKKAR,DISTRICT,HEAD,SEPARATION,98,386,0,87,315,0,11,71,0
BHAKKAR,DISTRICT,HEAD,WIDOWED,4628,6942,0,3438,5536,0,1190,1406,0
BHAKKAR,DISTRICT,NEPHEW/NIECE,DIVORCED,14,4,0,10,3,0,4,1,0
BHAKKAR,DISTRICT,NEPHEW/NIECE,MARRIED,408,1372,0,335,1099,0,73,273,0
BHAKKAR,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,3456,4287,0,2719,3406,0,737,881,0
BHAKKAR,DISTRICT,NEPHEW/NIECE,SEPARATION,3,4,0,3,3,0,0,1,0
BHAKKAR,DISTRICT,NEPHEW/NIECE,WIDOWED,23,9,0,17,7,0,6,2,0
BHAKKAR,DISTRICT,NON-RELATIVE,DIVORCED,10,25,0,7,19,0,3,6,0
BHAKKAR,DISTRICT,NON-RELATIVE,MARRIED,410,978,0,300,780,0,110,198,0
BHAKKAR,DISTRICT,NON-RELATIVE,NEVER MARRIED,456,2179,19,246,1386,7,210,793,12
