name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
SURAB,SURAB,DISTRICT,URBAN,HOMELESS,11,3,8,,1,.02
SURAB,SURAB,DISTRICT,URBAN,TOTAL,36468,17131,19337,,6186,100
WASHUK,WASHUK,DISTRICT,OVERALL,REGULAR,301503,162298,139180,25,49051,99.94
WASHUK,WASHUK,DISTRICT,OVERALL,INSTITUTIONAL,44,31,13,,15,.03
WASHUK,WASHUK,DISTRICT,OVERALL,HOMELESS,820,461,359,,14,.03
WASHUK,WASHUK,DISTRICT,OVERALL,TOTAL,302367,162790,139552,25,49080,100
WASHUK,WASHUK,DISTRICT,RURAL,REGULAR,260686,141409,119252,25,41954,99.95
WASHUK,WASHUK,DISTRICT,RURAL,INSTITUTIONAL,39,28,11,,12,.03
WASHUK,WASHUK,DISTRICT,RURAL,HOMELESS,791,448,343,,10,.02
WASHUK,WASHUK,DISTRICT,RURAL,TOTAL,261516,141885,119606,25,41976,100
WASHUK,WASHUK,DISTRICT,URBAN,REGULAR,40817,20889,19928,,7097,99.90000000000001
WASHUK,WASHUK,DISTRICT,URBAN,INSTITUTIONAL,5,3,2,,3,.04
WASHUK,WASHUK,DISTRICT,URBAN,HOMELESS,29,13,16,,4,.06
WASHUK,WASHUK,DISTRICT,URBAN,TOTAL,40851,20905,19946,,7104,100
ZHOB,ZHOB,DISTRICT,OVERALL,REGULAR,355280,191916,163359,5,47901,99.95
ZHOB,ZHOB,DISTRICT,OVERALL,INSTITUTIONAL,217,185,32,,15,.03
ZHOB,ZHOB,DISTRICT,OVERALL,HOMELESS,59,36,23,,9,.02
ZHOB,ZHOB,DISTRICT,OVERALL,TOTAL,355556,192137,163414,5,47925,100
ZHOB,ZHOB,DISTRICT,RURAL,REGULAR,308480,166608,141867,5,41474,99.95999999999999
ZHOB,ZHOB,DISTRICT,RURAL,INSTITUTIONAL,117,90,27,,9,.02
ZHOB,ZHOB,DISTRICT,RURAL,HOMELESS,58,35,23,,8,.02
ZHOB,ZHOB,DISTRICT,RURAL,TOTAL,308655,166733,141917,5,41491,100
ZHOB,ZHOB,DISTRICT,URBAN,REGULAR,46800,25308,21492,,6427,99.89
ZHOB,ZHOB,DISTRICT,URBAN,INSTITUTIONAL,100,95,5,,6,.09
ZHOB,ZHOB,DISTRICT,URBAN,HOMELESS,1,1,,,1,.02
ZHOB,ZHOB,DISTRICT,URBAN,TOTAL,46901,25404,21497,,6434,100
ZIARAT,ZIARAT,DISTRICT,OVERALL,REGULAR,189105,95914,93183,8,22894,99.97
ZIARAT,ZIARAT,DISTRICT,OVERALL,INSTITUTIONAL,409,251,158,,5,.02
