name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
SHANGLA,SHANGLA,DISTRICT,RURAL,REGULAR,890774,459720,431048,6,125540,99.98999999999999
SHANGLA,SHANGLA,DISTRICT,RURAL,INSTITUTIONAL,49,40,9,,8,.01
SHANGLA,SHANGLA,DISTRICT,RURAL,HOMELESS,23,10,13,,3,0
SHANGLA,SHANGLA,DISTRICT,RURAL,TOTAL,890846,459770,431070,6,125551,100
SHANGLA,SHANGLA,DISTRICT,URBAN,REGULAR,,,,,,0
SHANGLA,SHANGLA,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
SHANGLA,SHANGLA,DISTRICT,URBAN,HOMELESS,,,,,,0
SHANGLA,SHANGLA,DISTRICT,URBAN,TOTAL,,,,,,100
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,REGULAR,888576,459461,429101,14,178636,99.98
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,INSTITUTIONAL,43,33,10,,13,.01
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,HOMELESS,56,37,19,,16,.01
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,TOTAL,888675,459531,429130,14,178665,100
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,REGULAR,888576,459461,429101,14,178636,99.98
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,INSTITUTIONAL,43,33,10,,13,.01
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,HOMELESS,56,37,19,,16,.01
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,TOTAL,888675,459531,429130,14,178665,100
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,REGULAR,,,,,,0
