name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
KHUZDAR,KHUZDAR,DISTRICT,Memorization/ Focus,7286,3873,3413,4658,2453,2205,2628,1420,1208
KHUZDAR,KHUZDAR,DISTRICT,Self care etc,6410,3440,2970,3925,2120,1805,2485,1320,1165
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,361971,189188,172783,326587,169461,157126,35384,19727,15657
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Disability,5996,3451,2545,5610,3238,2372,386,213,173
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Functional limitation,17921,9754,8167,16293,8889,7404,1628,865,763
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Seeing,3262,1808,1454,2958,1643,1315,304,165,139
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Hearing,3612,1970,1642,3280,1794,1486,332,176,156
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Walking/ Climbing,5757,3170,2587,5228,2888,2340,529,282,247
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Communication,1771,1042,729,1616,960,656,155,82,73
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Memorization/ Focus,2581,1433,1148,2336,1305,1031,245,128,117
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Self care etc,2149,1164,985,1962,1065,897,187,99,88
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Population,380200,199075,181125,316025,166448,149577,64175,32627,31548
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Disability,7956,4179,3777,7074,3748,3326,882,431,451
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Functional limitation,20098,10166,9932,17051,8682,8369,3047,1484,1563
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Seeing,3881,2012,1869,3290,1718,1572,591,294,297
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Hearing,3866,1953,1913,3229,1647,1582,637,306,331
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Walking/ Climbing,6669,3455,3214,5601,2905,2696,1068,550,518
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Communication,2079,1120,959,1780,961,819,299,159,140
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Memorization/ Focus,2892,1492,1400,2439,1266,1173,453,226,227
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Self care etc,2262,1110,1152,1948,969,979,314,141,173
KOHLU,KOHLU,DISTRICT,Population,260220,136259,123961,241242,127202,114040,18978,9057,9921
KOHLU,KOHLU,DISTRICT,Disability,9676,5482,4194,9021,5151,3870,655,331,324
KOHLU,KOHLU,DISTRICT,Functional limitation,28307,15430,12877,26135,14371,11764,2172,1059,1113
KOHLU,KOHLU,DISTRICT,Seeing,5060,2718,2342,4712,2552,2160,348,166,182
KOHLU,KOHLU,DISTRICT,Hearing,5427,2975,2452,5012,2776,2236,415,199,216
KOHLU,KOHLU,DISTRICT,Walking/ Climbing,8878,4820,4058,8178,4484,3694,700,336,364
KOHLU,KOHLU,DISTRICT,Communication,2358,1348,1010,2186,1265,921,172,83,89
KOHLU,KOHLU,DISTRICT,Memorization/ Focus,3791,2086,1705,3493,1931,1562,298,155,143
KOHLU,KOHLU,DISTRICT,Self care etc,3423,1899,1524,3156,1763,1393,267,136,131
LASBELA,LASBELA,DISTRICT,Population,680816,348788,332028,350231,178728,171503,330585,170060,160525
LASBELA,LASBELA,DISTRICT,Disability,8583,4793,3790,5133,2820,2313,3450,1973,1477
LASBELA,LASBELA,DISTRICT,Functional limitation,53638,28132,25506,27968,14595,13373,25670,13537,12133
