name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,60 - 64,AFGHANI,29,22,7,12,7,5,17,15,2,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,60 - 64,BENGALI,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,60 - 64,CHINESE,2,2,,1,1,,1,1,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,60 - 64,OTHERS,34,31,3,15,15,,19,16,3,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,60 - 64,PAKISTANI,80888,58534,22354,37678,27430,10248,43202,31102,12100,8,2,6
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,65 - 69,AFGHANI,25,19,6,9,7,2,16,12,4,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,65 - 69,BENGALI,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,65 - 69,CHINESE,1,,1,,,,1,,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,65 - 69,OTHERS,19,17,2,8,7,1,11,10,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,65 - 69,PAKISTANI,58198,42559,15639,27695,20283,7412,30501,22275,8226,2,1,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,70 - 74,AFGHANI,11,10,1,5,4,1,6,6,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,70 - 74,BENGALI,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,70 - 74,CHINESE,1,1,,,,,1,1,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,70 - 74,OTHERS,21,20,1,12,12,,9,8,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,70 - 74,PAKISTANI,41220,31211,10009,18204,13822,4382,23012,17389,5623,4,,4
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,75 & ABOVE,AFGHANI,13,10,3,5,3,2,8,7,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,75 & ABOVE,BENGALI,1,,1,1,,1,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,75 & ABOVE,CHINESE,,,,,,,,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,75 & ABOVE,OTHERS,19,17,2,7,6,1,12,11,1,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,75 & ABOVE,PAKISTANI,44827,34768,10059,19613,15021,4592,25213,19747,5466,1,,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,ALL AGES,AFGHANI,932,652,280,478,336,142,453,316,137,1,,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,ALL AGES,BENGALI,14,6,8,9,4,5,5,2,3,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,ALL AGES,CHINESE,17,12,5,4,2,2,13,10,3,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,ALL AGES,OTHERS,1158,963,195,560,460,100,598,503,95,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,ALL AGES,PAKISTANI,3542790,2569663,973127,1700602,1233444,467158,1841819,1336119,505700,369,100,269
BAHAWALPUR,BAHAWALPUR,DISTRICT,00 - 04,AFGHANI,133,82,51,63,41,22,70,41,29,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,00 - 04,BENGALI,5,4,1,2,1,1,3,3,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,00 - 04,CHINESE,2,1,1,1,1,,1,,1,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,00 - 04,OTHERS,672,580,92,332,282,50,340,298,42,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,00 - 04,PAKISTANI,647579,425021,222558,320840,210920,109920,326739,214101,112638,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,05 - 09,AFGHANI,105,62,43,61,37,24,44,25,19,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,05 - 09,BENGALI,,,,,,,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,05 - 09,CHINESE,4,1,3,2,1,1,2,,2,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,05 - 09,OTHERS,557,454,103,261,219,42,296,235,61,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,05 - 09,PAKISTANI,582344,384321,198023,288743,190716,98027,293601,193605,99996,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,10 - 14,AFGHANI,93,41,52,41,23,18,52,18,34,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,10 - 14,BENGALI,,,,,,,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,10 - 14,CHINESE,2,1,1,1,1,,1,,1,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,10 - 14,OTHERS,443,335,108,232,185,47,211,150,61,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,10 - 14,PAKISTANI,511773,323108,188665,252212,159551,92661,259543,163547,95996,18,10,8
BAHAWALPUR,BAHAWALPUR,DISTRICT,15 - 19,AFGHANI,75,39,36,38,26,12,37,13,24,,,
