name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
LODHRAN,LODHRAN,DISTRICT,Memorization/ Focus,22998,12404,10594,18988,10310,8678,4010,2094,1916
LODHRAN,LODHRAN,DISTRICT,Self care etc,14342,7510,6832,11760,6137,5623,2582,1373,1209
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Population,1829152,917105,912047,1483259,743210,740049,345893,173895,171998
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Disability,73069,39961,33108,61213,33376,27837,11856,6585,5271
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Functional limitation,282049,145038,137011,232064,119350,112714,49985,25688,24297
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Seeing,51197,26389,24808,42221,21797,20424,8976,4592,4384
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Hearing,59862,30647,29215,49164,25256,23908,10698,5391,5307
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Walking/ Climbing,84986,44525,40461,70265,36791,33474,14721,7734,6987
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Communication,28782,15384,13398,23335,12439,10896,5447,2945,2502
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Memorization/ Focus,41495,21746,19749,33695,17683,16012,7800,4063,3737
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,Self care etc,32824,16717,16107,27231,13835,13396,5593,2882,2711
MIANWALI,MIANWALI,DISTRICT,Population,1795897,917042,878855,1432505,731107,701398,363392,185935,177457
MIANWALI,MIANWALI,DISTRICT,Disability,93835,53341,40494,77163,43833,33330,16672,9508,7164
MIANWALI,MIANWALI,DISTRICT,Functional limitation,298222,162226,135996,238400,129518,108882,59822,32708,27114
MIANWALI,MIANWALI,DISTRICT,Seeing,52717,28639,24078,42128,22843,19285,10589,5796,4793
MIANWALI,MIANWALI,DISTRICT,Hearing,61065,32978,28087,48507,26131,22376,12558,6847,5711
MIANWALI,MIANWALI,DISTRICT,Walking/ Climbing,93584,51310,42274,74434,40838,33596,19150,10472,8678
MIANWALI,MIANWALI,DISTRICT,Communication,31576,17656,13920,25415,14271,11144,6161,3385,2776
