name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),>18,121979,68007,53967,5,108760,61247,47510,3,13219,6760,6457,2
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Never to School (all),>60,8602,3860,4742,,7684,3444,4240,,918,416,502,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,11 - 13,27290,12956,14334,,24303,11692,12611,,2987,1264,1723,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,14 - 15,15784,7284,8494,6,14010,6549,7455,6,1774,735,1039,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,15 - 24,76819,38486,38321,12,68287,34628,33648,11,8532,3858,4673,1
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,15 - 49,160360,78702,81644,14,144180,71216,72952,12,16180,7486,8692,2
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,25 - 40,64323,31354,32968,1,58595,28587,30007,1,5728,2767,2961,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,41 - 60,32311,14818,17492,1,29012,13327,15685,,3299,1491,1807,1
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,5,13552,6202,7350,,12146,5643,6503,,1406,559,847,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,5 - 16,119964,56515,63442,7,107282,51309,55966,7,12682,5206,7476,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,6 - 10,55285,26307,28978,,49661,24012,25649,,5624,2295,3329,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,>18,151763,73434,78323,6,136741,66403,70334,4,15022,7031,7989,2
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,>60,9727,3976,5751,,8761,3556,5205,,966,420,546,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,11 - 13,1475,487,988,,1398,465,933,,77,22,55,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,14 - 15,717,242,475,,676,233,443,,41,9,32,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,15 - 24,2657,892,1764,1,2443,841,1601,1,214,51,163,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,15 - 49,5310,1458,3851,1,4907,1392,3514,1,403,66,337,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,25 - 40,2012,456,1556,,1874,448,1426,,138,8,130,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,41 - 60,999,156,843,,920,148,772,,79,8,71,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,5,,,,,,,,,,,,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,5 - 16,3086,1003,2083,,2909,957,1952,,177,46,131,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,6 - 10,562,161,401,,536,152,384,,26,9,17,
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Primary Completed,>18,4648,1106,3541,1,4302,1057,3244,1,346,49,297,
