name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
MOHMAND,DISTRICT,MOHMAND,RURAL,500 -- 999,5,3905,1998,1907,,Rural Localities
MOHMAND,DISTRICT,MOHMAND,RURAL,200 -- 499,,,,,,Rural Localities
MOHMAND,DISTRICT,MOHMAND,RURAL,LESS THAN 200,,,,,,Rural Localities
MOHMAND,DISTRICT,MOHMAND,RURAL,UN-INHABITED,2,,,,,Rural Localities
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,RURAL,OVERALL,174,689201,352371,336816,14,Rural Localities
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,RURAL,"5,000 AND ABOVE",52,547571,278997,268562,12,Rural Localities
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,RURAL,"2,000 -- 4,999",38,114337,59150,55186,1,Rural Localities
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,RURAL,"1,000 -- 1,999",12,19163,9967,9195,1,Rural Localities
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,RURAL,500 -- 999,10,7737,4064,3673,,Rural Localities
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,RURAL,200 -- 499,1,393,193,200,,Rural Localities
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,RURAL,LESS THAN 200,,,,,,Rural Localities
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,RURAL,UN-INHABITED,61,,,,,Rural Localities
NOWSHERA,DISTRICT,NOWSHERA,RURAL,OVERALL,155,1398746,708185,690543,18,Rural Localities
NOWSHERA,DISTRICT,NOWSHERA,RURAL,"5,000 AND ABOVE",75,1250214,633821,616375,18,Rural Localities
NOWSHERA,DISTRICT,NOWSHERA,RURAL,"2,000 -- 4,999",33,108174,54078,54096,,Rural Localities
NOWSHERA,DISTRICT,NOWSHERA,RURAL,"1,000 -- 1,999",21,33328,16775,16553,,Rural Localities
NOWSHERA,DISTRICT,NOWSHERA,RURAL,500 -- 999,8,6033,3025,3008,,Rural Localities
NOWSHERA,DISTRICT,NOWSHERA,RURAL,200 -- 499,3,902,439,463,,Rural Localities
NOWSHERA,DISTRICT,NOWSHERA,RURAL,LESS THAN 200,2,95,47,48,,Rural Localities
NOWSHERA,DISTRICT,NOWSHERA,RURAL,UN-INHABITED,13,,,,,Rural Localities
ORAKZAI,DISTRICT,ORAKZAI,RURAL,OVERALL,78,387561,204870,182684,7,Rural Localities
ORAKZAI,DISTRICT,ORAKZAI,RURAL,"5,000 AND ABOVE",26,272027,144661,127361,5,Rural Localities
ORAKZAI,DISTRICT,ORAKZAI,RURAL,"2,000 -- 4,999",20,74309,38893,35416,,Rural Localities
ORAKZAI,DISTRICT,ORAKZAI,RURAL,"1,000 -- 1,999",25,37387,19269,18116,2,Rural Localities
ORAKZAI,DISTRICT,ORAKZAI,RURAL,500 -- 999,4,2875,1547,1328,,Rural Localities
ORAKZAI,DISTRICT,ORAKZAI,RURAL,200 -- 499,2,801,403,398,,Rural Localities
ORAKZAI,DISTRICT,ORAKZAI,RURAL,LESS THAN 200,1,162,97,65,,Rural Localities
ORAKZAI,DISTRICT,ORAKZAI,RURAL,UN-INHABITED,,,,,,Rural Localities
PESHAWAR,DISTRICT,PESHAWAR,RURAL,OVERALL,287,2852787,1445832,1406925,30,Rural Localities
PESHAWAR,DISTRICT,PESHAWAR,RURAL,"5,000 AND ABOVE",149,2587756,1313011,1274720,25,Rural Localities
