name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
GHOTKI,DISTRICT,55 - 59,WIDOWED,3917,3217,700,0,2886,2355,531,0,1031,862,169,0
GHOTKI,DISTRICT,60 - 64,DIVORCED,27,19,8,0,17,14,3,0,10,5,5,0
GHOTKI,DISTRICT,60 - 64,MARRIED,21666,8797,12869,0,16766,6892,9874,0,4900,1905,2995,0
GHOTKI,DISTRICT,60 - 64,NEVER MARRIED,138,52,84,2,95,36,59,0,43,16,25,2
GHOTKI,DISTRICT,60 - 64,SEPERATION,29,20,9,0,19,12,7,0,10,8,2,0
GHOTKI,DISTRICT,60 - 64,WIDOWED,4309,3556,753,0,3179,2620,559,0,1130,936,194,0
GHOTKI,DISTRICT,65 - 69,DIVORCED,11,10,1,0,9,8,1,0,2,2,0,0
GHOTKI,DISTRICT,65 - 69,MARRIED,15266,6037,9229,0,11817,4682,7135,0,3449,1355,2094,0
GHOTKI,DISTRICT,65 - 69,NEVER MARRIED,105,46,59,0,79,29,50,0,26,17,9,0
GHOTKI,DISTRICT,65 - 69,SEPERATION,23,15,8,0,12,6,6,0,11,9,2,0
GHOTKI,DISTRICT,65 - 69,WIDOWED,4533,3748,785,0,3321,2729,592,0,1212,1019,193,0
GHOTKI,DISTRICT,70 - 74,DIVORCED,16,12,4,0,9,5,4,0,7,7,0,0
GHOTKI,DISTRICT,70 - 74,MARRIED,10093,3660,6433,0,8088,2971,5117,0,2005,689,1316,0
GHOTKI,DISTRICT,70 - 74,NEVER MARRIED,56,18,37,1,43,11,31,1,13,7,6,0
GHOTKI,DISTRICT,70 - 74,SEPERATION,19,8,11,0,16,7,9,0,3,1,2,0
GHOTKI,DISTRICT,70 - 74,WIDOWED,4429,3592,837,0,3339,2692,647,0,1090,900,190,0
GHOTKI,DISTRICT,75 & ABOVE,DIVORCED,10,7,3,0,8,6,2,0,2,1,1,0
GHOTKI,DISTRICT,75 & ABOVE,MARRIED,7680,2361,5319,0,6386,1948,4438,0,1294,413,881,0
GHOTKI,DISTRICT,75 & ABOVE,NEVER MARRIED,50,29,21,0,36,20,16,0,14,9,5,0
GHOTKI,DISTRICT,75 & ABOVE,SEPERATION,11,4,7,0,10,4,6,0,1,0,1,0
GHOTKI,DISTRICT,75 & ABOVE,WIDOWED,5674,4375,1299,0,4494,3464,1030,0,1180,911,269,0
HYDERABAD,DISTRICT,15 &  ABOVE,DIVORCED,5679,3417,2262,0,475,268,207,0,5204,3149,2055,0
HYDERABAD,DISTRICT,15 &  ABOVE,MARRIED,960940,474412,486528,0,160239,79918,80321,0,800701,394494,406207,0
HYDERABAD,DISTRICT,15 &  ABOVE,NEVER MARRIED,485210,187645,297400,165,64216,24486,39724,6,420994,163159,257676,159
HYDERABAD,DISTRICT,15 &  ABOVE,SEPERATION,2338,1154,1184,0,395,226,169,0,1943,928,1015,0
HYDERABAD,DISTRICT,15 &  ABOVE,WIDOWED,62246,46697,15549,0,9617,7192,2425,0,52629,39505,13124,0
HYDERABAD,DISTRICT,15 - 19,DIVORCED,58,43,15,0,19,14,5,0,39,29,10,0
HYDERABAD,DISTRICT,15 - 19,MARRIED,18240,13127,5113,0,6174,4219,1955,0,12066,8908,3158,0
HYDERABAD,DISTRICT,15 - 19,NEVER MARRIED,215840,91641,124173,26,33841,13982,19854,5,181999,77659,104319,21
HYDERABAD,DISTRICT,15 - 19,SEPERATION,63,22,41,0,18,7,11,0,45,15,30,0
HYDERABAD,DISTRICT,15 - 19,WIDOWED,62,38,24,0,15,8,7,0,47,30,17,0
HYDERABAD,DISTRICT,20 - 24,DIVORCED,321,242,79,0,35,23,12,0,286,219,67,0
HYDERABAD,DISTRICT,20 - 24,MARRIED,78038,52528,25510,0,19229,11691,7538,0,58809,40837,17972,0
HYDERABAD,DISTRICT,20 - 24,NEVER MARRIED,131781,51246,80508,27,15237,5333,9904,0,116544,45913,70604,27
HYDERABAD,DISTRICT,20 - 24,SEPERATION,167,96,71,0,21,11,10,0,146,85,61,0
HYDERABAD,DISTRICT,20 - 24,WIDOWED,274,147,127,0,69,30,39,0,205,117,88,0
HYDERABAD,DISTRICT,25 - 29,DIVORCED,669,447,222,0,69,43,26,0,600,404,196,0
HYDERABAD,DISTRICT,25 - 29,MARRIED,128283,74377,53906,0,24131,12743,11388,0,104152,61634,42518,0
HYDERABAD,DISTRICT,25 - 29,NEVER MARRIED,67618,21722,45879,17,7550,2372,5178,0,60068,19350,40701,17
HYDERABAD,DISTRICT,25 - 29,SEPERATION,246,123,123,0,55,30,25,0,191,93,98,0
HYDERABAD,DISTRICT,25 - 29,WIDOWED,611,350,261,0,141,73,68,0,470,277,193,0
HYDERABAD,DISTRICT,30 - 34,DIVORCED,867,553,314,0,87,54,33,0,780,499,281,0
HYDERABAD,DISTRICT,30 - 34,MARRIED,139926,73783,66143,0,22577,11648,10929,0,117349,62135,55214,0
HYDERABAD,DISTRICT,30 - 34,NEVER MARRIED,30651,9311,21319,21,3257,1115,2142,0,27394,8196,19177,21
HYDERABAD,DISTRICT,30 - 34,SEPERATION,291,154,137,0,56,33,23,0,235,121,114,0
HYDERABAD,DISTRICT,30 - 34,WIDOWED,1102,717,385,0,230,144,86,0,872,573,299,0
HYDERABAD,DISTRICT,35 - 39,DIVORCED,973,555,418,0,74,37,37,0,899,518,381,0
HYDERABAD,DISTRICT,35 - 39,MARRIED,141549,69081,72468,0,21948,10764,11184,0,119601,58317,61284,0
HYDERABAD,DISTRICT,35 - 39,NEVER MARRIED,16729,5108,11600,21,1827,667,1160,0,14902,4441,10440,21
HYDERABAD,DISTRICT,35 - 39,SEPERATION,328,156,172,0,61,32,29,0,267,124,143,0
HYDERABAD,DISTRICT,35 - 39,WIDOWED,1988,1359,629,0,349,247,102,0,1639,1112,527,0
HYDERABAD,DISTRICT,40 - 44,DIVORCED,912,536,376,0,72,40,32,0,840,496,344,0
HYDERABAD,DISTRICT,40 - 44,MARRIED,124534,57204,67330,0,20079,9372,10707,0,104455,47832,56623,0
HYDERABAD,DISTRICT,40 - 44,NEVER MARRIED,9143,3101,6026,16,1073,395,678,0,8070,2706,5348,16
HYDERABAD,DISTRICT,40 - 44,SEPERATION,346,181,165,0,57,36,21,0,289,145,144,0
HYDERABAD,DISTRICT,40 - 44,WIDOWED,3363,2451,912,0,605,439,166,0,2758,2012,746,0
HYDERABAD,DISTRICT,45 - 49,DIVORCED,709,405,304,0,37,20,17,0,672,385,287,0
HYDERABAD,DISTRICT,45 - 49,MARRIED,102343,46270,56073,0,14513,6751,7762,0,87830,39519,48311,0
HYDERABAD,DISTRICT,45 - 49,NEVER MARRIED,5705,2115,3581,9,577,247,330,0,5128,1868,3251,9
HYDERABAD,DISTRICT,45 - 49,SEPERATION,305,145,160,0,42,25,17,0,263,120,143,0
