name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,RURAL,61210,2,2,5,38109,19267,1645,24,2156
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,URBAN,12315,6,8,4,8641,2887,251,,518
CHITRAL,LOWER CHITRAL,SUB-DIVISION,OVERALL,52623,8,8,5,32430,17145,1160,5,1862
CHITRAL,LOWER CHITRAL,SUB-DIVISION,RURAL,40308,2,,1,23789,14258,909,5,1344
CHITRAL,LOWER CHITRAL,SUB-DIVISION,URBAN,12315,6,8,4,8641,2887,251,,518
DROSH,LOWER CHITRAL,SUB-DIVISION,OVERALL,20902,,2,4,14320,5009,736,19,812
DROSH,LOWER CHITRAL,SUB-DIVISION,RURAL,20902,,2,4,14320,5009,736,19,812
DROSH,LOWER CHITRAL,SUB-DIVISION,URBAN,,,,,,,,,
LOWER DIR,LOWER DIR,DISTRICT,OVERALL,210131,62,29,54,170248,29101,2991,79,7567
LOWER DIR,LOWER DIR,DISTRICT,RURAL,202386,51,10,27,165099,27090,2779,50,7280
LOWER DIR,LOWER DIR,DISTRICT,URBAN,7745,11,19,27,5149,2011,212,29,287
ADENZAI,LOWER DIR,SUB-DIVISION,OVERALL,50754,24,4,11,40196,7157,901,14,2447
ADENZAI,LOWER DIR,SUB-DIVISION,RURAL,50754,24,4,11,40196,7157,901,14,2447
ADENZAI,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,
LAL QILA,LOWER DIR,SUB-DIVISION,OVERALL,31625,2,,4,25912,4337,321,12,1037
LAL QILA,LOWER DIR,SUB-DIVISION,RURAL,31625,2,,4,25912,4337,321,12,1037
LAL QILA,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,
SAMARBAGH,LOWER DIR,SUB-DIVISION,OVERALL,49271,1,2,2,40813,6812,456,7,1178
SAMARBAGH,LOWER DIR,SUB-DIVISION,RURAL,49271,1,2,2,40813,6812,456,7,1178
SAMARBAGH,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,
TEMERGARA,LOWER DIR,SUB-DIVISION,OVERALL,78481,35,23,37,63327,10795,1313,46,2905
TEMERGARA,LOWER DIR,SUB-DIVISION,RURAL,70736,24,4,10,58178,8784,1101,17,2618
TEMERGARA,LOWER DIR,SUB-DIVISION,URBAN,7745,11,19,27,5149,2011,212,29,287
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,OVERALL,26090,21,1,4,22557,2609,317,177,404
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,RURAL,26090,21,1,4,22557,2609,317,177,404
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,URBAN,,,,,,,,,
