name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Literate %,45.82,54.69,36.7,31.25,42.56,52.09,32.76,36.36,61.83,67.48999999999999,56.03,20
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Ever Attended,113360,66916,46440,4,87853,52910,34939,4,25507,14006,11501,
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Primary Completed,20061,12359,7699,3,16077,10073,6001,3,3984,2286,1698,
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Enrolment Primary,31440,16203,15237,,25961,13387,12574,,5479,2816,2663,
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Enrolment Middle,9578,4996,4581,1,7301,3893,3407,1,2277,1103,1174,
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Enrolment Matric,4679,2523,2156,,3344,1867,1477,,1335,656,679,
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Enrolment Intermidiate,2547,1341,1206,,1719,957,762,,828,384,444,
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Enrolment Graduation above,2703,1403,1300,,1685,934,751,,1018,469,549,
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Never to School (all),136360,59535,76813,12,120663,52774,67882,7,15697,6761,8931,5
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Drop Out (5 - 16),8347,4253,4094,,7086,3577,3509,,1261,676,585,
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Never to School (5-16),28322,13173,15148,1,26000,12137,13863,,2322,1036,1285,1
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,Out of School Children (5-16),36669,17426,19242,1,33086,15714,17372,,3583,1712,1870,1
YAZMAN,BAHAWALPUR,TEHSIL,Population >=5,591141,299676,291388,77,538424,273479,264887,58,52717,26197,26501,19
YAZMAN,BAHAWALPUR,TEHSIL,Population >=10,498692,253896,244719,77,453222,231231,221933,58,45470,22665,22786,19
YAZMAN,BAHAWALPUR,TEHSIL,Literate >=10,267041,148289,118730,22,233739,131015,102705,19,33302,17274,16025,3
YAZMAN,BAHAWALPUR,TEHSIL,Literate %,53.55,58.41,48.52,28.57,51.57,56.66,46.28,32.76,73.23999999999999,76.20999999999999,70.33,15.79
YAZMAN,BAHAWALPUR,TEHSIL,Ever Attended,312991,170960,142008,23,273883,150737,123126,20,39108,20223,18882,3
YAZMAN,BAHAWALPUR,TEHSIL,Primary Completed,54477,30191,24285,1,48822,27242,21579,1,5655,2949,2706,
YAZMAN,BAHAWALPUR,TEHSIL,Enrolment Primary,79085,40292,38793,,71338,36332,35006,,7747,3960,3787,
YAZMAN,BAHAWALPUR,TEHSIL,Enrolment Middle,26707,13038,13669,,23553,11598,11955,,3154,1440,1714,
YAZMAN,BAHAWALPUR,TEHSIL,Enrolment Matric,14292,6933,7358,1,12143,5953,6189,1,2149,980,1169,
YAZMAN,BAHAWALPUR,TEHSIL,Enrolment Intermidiate,7959,3665,4294,,6750,3167,3583,,1209,498,711,
YAZMAN,BAHAWALPUR,TEHSIL,Enrolment Graduation above,8114,3155,4959,,6470,2560,3910,,1644,595,1049,
YAZMAN,BAHAWALPUR,TEHSIL,Never to School (all),278150,128716,149380,54,264541,122742,141761,38,13609,5974,7619,16
YAZMAN,BAHAWALPUR,TEHSIL,Drop Out (5 - 16),19030,10047,8982,1,17313,9071,8241,1,1717,976,741,
YAZMAN,BAHAWALPUR,TEHSIL,Never to School (5-16),62753,30294,32458,1,60844,29435,31408,1,1909,859,1050,
YAZMAN,BAHAWALPUR,TEHSIL,Out of School Children (5-16),81783,40341,41440,2,78157,38506,39649,2,3626,1835,1791,
BHAKKAR,BHAKKAR,DISTRICT,Population >=5,1606888,827587,779224,77,1314440,677043,637361,36,292448,150544,141863,41
BHAKKAR,BHAKKAR,DISTRICT,Population >=10,1363047,701466,661504,77,1110791,571552,539203,36,252256,129914,122301,41
BHAKKAR,BHAKKAR,DISTRICT,Literate >=10,758886,468657,290207,22,578101,366341,211748,12,180785,102316,78459,10
