name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,41 - 60,10497,5057,5439,1,10497,5057,5439,1,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,5 - 16,42154,20813,21341,,42154,20813,21341,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,5 - 9,21984,10925,11059,,21984,10925,11059,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,>18,44790,22032,22757,1,44790,22032,22757,1,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Population,>60,3000,1235,1765,,3000,1235,1765,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,10 - 12,680,243,437,,680,243,437,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,13 - 14,210,70,140,,210,70,140,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,15 - 24,533,119,414,,533,119,414,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,15 - 49,956,148,808,,956,148,808,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,25 - 40,341,28,313,,341,28,313,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,41 - 60,130,1,129,,130,1,129,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,5 - 16,1057,372,685,,1057,372,685,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,5 - 9,8,5,3,,8,5,3,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,>18,752,63,689,,752,63,689,,,,,
BIRMIL,SOUTH WAZIRISTAN,TEHSIL,Primary Completed,>60,17,,17,,17,,17,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,10 - 12,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,13 - 14,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,15 - 24,1503,193,1310,,1503,193,1310,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,15 - 49,1655,212,1443,,1655,212,1443,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,25 - 40,147,19,128,,147,19,128,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,41 - 60,8,1,7,,8,1,7,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,5 - 16,96,25,71,,96,25,71,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,5 - 9,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,>18,1082,113,969,,1082,113,969,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Graduation above,>60,2,,2,,2,,2,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,10 - 12,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,13 - 14,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,15 - 24,1536,235,1301,,1536,235,1301,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,15 - 49,1565,239,1326,,1565,239,1326,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,25 - 40,27,3,24,,27,3,24,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,41 - 60,5,2,3,,5,2,3,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,5 - 16,626,106,520,,626,106,520,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,5 - 9,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,>18,332,44,288,,332,44,288,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Intermidiate,>60,1,,1,,1,,1,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,10 - 12,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,13 - 14,1018,248,770,,1018,248,770,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,15 - 24,1259,208,1051,,1259,208,1051,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,15 - 49,1259,208,1051,,1259,208,1051,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,25 - 40,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,41 - 60,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,5 - 16,1896,393,1503,,1896,393,1503,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,5 - 9,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,>18,97,12,85,,97,12,85,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Matric,>60,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,10 - 12,2769,863,1906,,2769,863,1906,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,13 - 14,1604,373,1231,,1604,373,1231,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,15 - 24,594,132,462,,594,132,462,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,15 - 49,594,132,462,,594,132,462,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,25 - 40,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,41 - 60,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,5 - 16,4826,1336,3490,,4826,1336,3490,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,5 - 9,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,>18,40,10,30,,40,10,30,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Middle,>60,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,10 - 12,2906,1007,1899,,2906,1007,1899,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,13 - 14,414,124,290,,414,124,290,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,15 - 24,96,27,69,,96,27,69,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,15 - 49,96,27,69,,96,27,69,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,25 - 40,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,41 - 60,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,5 - 16,12873,5084,7789,,12873,5084,7789,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,5 - 9,9481,3933,5548,,9481,3933,5548,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,>18,7,3,4,,7,3,4,,,,,
BISHAM,SHANGLA,TEHSIL,Enrolment Primary,>60,,,,,,,,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,10 - 12,6166,2165,4001,,6166,2165,4001,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,13 - 14,3520,1031,2489,,3520,1031,2489,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,15 - 24,9271,1842,7429,,9271,1842,7429,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,15 - 49,15659,2418,13241,,15659,2418,13241,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,25 - 40,4976,501,4475,,4976,501,4475,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,41 - 60,2094,99,1995,,2094,99,1995,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,5 - 16,22226,8013,14213,,22226,8013,14213,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,5 - 9,9798,4113,5685,,9798,4113,5685,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,>18,11646,1240,10406,,11646,1240,10406,,,,,
BISHAM,SHANGLA,TEHSIL,Ever Attended,>60,352,10,342,,352,10,342,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,10 - 12,6115,2189,3926,,6115,2189,3926,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,13 - 14,3552,1057,2495,,3552,1057,2495,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,15 - 24,9662,2040,7622,,9662,2040,7622,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,15 - 49,16930,3034,13896,,16930,3034,13896,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,25 - 40,5638,820,4818,,5638,820,4818,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,41 - 60,2479,270,2209,,2479,270,2209,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,5 - 16,19075,6691,12384,,19075,6691,12384,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,5 - 9,6608,2707,3901,,6608,2707,3901,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,>18,13068,1906,11162,,13068,1906,11162,,,,,
BISHAM,SHANGLA,TEHSIL,Literate,>60,473,49,424,,473,49,424,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,10 - 12,57,43,70,,57,43,70,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,13 - 14,58,37,76,,58,37,76,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,15 - 24,41,18,63,,41,18,63,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,15 - 49,32,11,53,,32,11,53,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,25 - 40,26,7,46,,26,7,46,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,41 - 60,18,4,33,,18,4,33,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,5 - 16,44,33,54,,44,33,54,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,5 - 9,31.64,27.14,35.76,,31.64,27.14,35.76,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,>18,25,7,43,,25,7,43,,,,,
BISHAM,SHANGLA,TEHSIL,Literate %,>60,10,2,16,,10,2,16,,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),10 - 12,4492,2918,1574,,4492,2918,1574,,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),13 - 14,2623,1815,808,,2623,1815,808,,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),15 - 24,14086,9369,4717,,14086,9369,4717,,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),15 - 49,37404,24244,13159,1,37404,24244,13159,1,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),25 - 40,16811,10900,5910,1,16811,10900,5910,1,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),41 - 60,11340,6595,4745,,11340,6595,4745,,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),5 - 16,20952,12431,8521,,20952,12431,8521,,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),5 - 9,11085,5861,5224,,11085,5861,5224,,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),>18,41371,25521,15849,1,41371,25521,15849,1,,,,
BISHAM,SHANGLA,TEHSIL,Never to School (all),>60,4572,2235,2337,,4572,2235,2337,,,,,
BISHAM,SHANGLA,TEHSIL,Population,10 - 12,10658,5083,5575,,10658,5083,5575,,,,,
BISHAM,SHANGLA,TEHSIL,Population,13 - 14,6143,2846,3297,,6143,2846,3297,,,,,
BISHAM,SHANGLA,TEHSIL,Population,15 - 24,23357,11211,12146,,23357,11211,12146,,,,,
BISHAM,SHANGLA,TEHSIL,Population,15 - 49,53063,26662,26400,1,53063,26662,26400,1,,,,
BISHAM,SHANGLA,TEHSIL,Population,25 - 40,21787,11401,10385,1,21787,11401,10385,1,,,,
BISHAM,SHANGLA,TEHSIL,Population,41 - 60,13434,6694,6740,,13434,6694,6740,,,,,
BISHAM,SHANGLA,TEHSIL,Population,5 - 16,43178,20444,22734,,43178,20444,22734,,,,,
BISHAM,SHANGLA,TEHSIL,Population,5 - 9,20883,9974,10909,,20883,9974,10909,,,,,
BISHAM,SHANGLA,TEHSIL,Population,>18,53017,26761,26255,1,53017,26761,26255,1,,,,
BISHAM,SHANGLA,TEHSIL,Population,>60,4924,2245,2679,,4924,2245,2679,,,,,
BISHAM,SHANGLA,TEHSIL,Primary Completed,10 - 12,1532,529,1003,,1532,529,1003,,,,,
BISHAM,SHANGLA,TEHSIL,Primary Completed,13 - 14,552,193,359,,552,193,359,,,,,
BISHAM,SHANGLA,TEHSIL,Primary Completed,15 - 24,845,308,537,,845,308,537,,,,,
BISHAM,SHANGLA,TEHSIL,Primary Completed,15 - 49,1670,408,1262,,1670,408,1262,,,,,
BISHAM,SHANGLA,TEHSIL,Primary Completed,25 - 40,605,89,516,,605,89,516,,,,,
BISHAM,SHANGLA,TEHSIL,Primary Completed,41 - 60,325,14,311,,325,14,311,,,,,
