name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BARKHAN,DISTRICT,OTHER RELATIVE,WIDOWED,140,29,0,123,27,0,17,2,0
BARKHAN,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,2,1,0,2,1,0,0,0,0
BARKHAN,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,3044,118,0,2771,111,0,273,7,0
BARKHAN,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,142,17,0,133,17,0,9,0,0
BARKHAN,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,1,0,0,1,0,0,0,0,0
BARKHAN,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,109,1,0,90,1,0,19,0,0
BARKHAN,DISTRICT,SON/DAUGHTER,DIVORCED,9,1,0,9,1,0,0,0,0
BARKHAN,DISTRICT,SON/DAUGHTER,MARRIED,559,4531,0,528,4059,0,31,472,0
BARKHAN,DISTRICT,SON/DAUGHTER,NEVER MARRIED,7548,10638,1,6798,9813,1,750,825,0
BARKHAN,DISTRICT,SON/DAUGHTER,SEPARATION,7,9,0,7,9,0,0,0,0
BARKHAN,DISTRICT,SON/DAUGHTER,WIDOWED,29,31,0,25,29,0,4,2,0
BARKHAN,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
BARKHAN,DISTRICT,SPOUSE,MARRIED,23304,36,,21856,35,,1448,1,
BARKHAN,DISTRICT,SPOUSE,NEVER MARRIED,0,0,,0,0,,0,0,
BARKHAN,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
BARKHAN,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,BROTHER/SISTER,DIVORCED,28,3,0,26,2,0,2,1,0
CHAGAI,DISTRICT,BROTHER/SISTER,MARRIED,321,1246,0,262,1097,0,59,149,0
CHAGAI,DISTRICT,BROTHER/SISTER,NEVER MARRIED,1777,2254,0,1483,1875,0,294,379,0
CHAGAI,DISTRICT,BROTHER/SISTER,SEPARATION,5,2,0,4,1,0,1,1,0
CHAGAI,DISTRICT,BROTHER/SISTER,WIDOWED,120,24,0,101,20,0,19,4,0
CHAGAI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,1387,475,,1184,439,,203,36,
CHAGAI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,23,3,,18,3,,5,0,
CHAGAI,DISTRICT,FATHER/MOTHER,DIVORCED,5,0,,4,0,,1,0,
CHAGAI,DISTRICT,FATHER/MOTHER,MARRIED,532,251,,487,227,,45,24,
CHAGAI,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,FATHER/MOTHER,SEPARATION,10,0,,10,0,,0,0,
