name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,515988,507658,5124,3206,445725,34404,28338,7521,412552,47364
GUJRANWALA CITY,GUJRANWALA,TEHSIL,OVERALL,356287,350193,3691,2403,312463,24481,14183,5160,291047,28682
GUJRANWALA CITY,GUJRANWALA,TEHSIL,RURAL,,,,,,,,,,
GUJRANWALA CITY,GUJRANWALA,TEHSIL,URBAN,356287,350193,3691,2403,312463,24481,14183,5160,291047,28682
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,OVERALL,168704,165946,1576,1182,131647,10255,20381,6421,131935,19716
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,RURAL,114033,112382,876,775,85095,7234,16031,5673,87523,15208
GUJRANWALA SADDAR,GUJRANWALA,TEHSIL,URBAN,54671,53564,700,407,46552,3021,4350,748,44412,4508
KAMOKE,GUJRANWALA,TEHSIL,OVERALL,94236,93376,515,345,64980,3282,9554,16420,62511,18877
KAMOKE,GUJRANWALA,TEHSIL,RURAL,51778,51294,266,218,27443,1275,7197,15863,34317,11618
KAMOKE,GUJRANWALA,TEHSIL,URBAN,42458,42082,249,127,37537,2007,2357,557,28194,7259
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,OVERALL,87569,86640,613,316,48216,1124,23812,14417,57720,19433
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,RURAL,79617,78783,550,284,40865,1032,23372,14348,51509,18288
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,URBAN,7952,7857,63,32,7351,92,440,69,6211,1145
WAZIRABAD,GUJRANWALA,TEHSIL,OVERALL,142381,140584,1167,630,73130,15240,43442,10569,109208,18832
WAZIRABAD,GUJRANWALA,TEHSIL,RURAL,87761,86622,746,393,31308,10437,36434,9582,66520,13062
WAZIRABAD,GUJRANWALA,TEHSIL,URBAN,54620,53962,421,237,41822,4803,7008,987,42688,5770
GUJRAT,GUJRAT,DISTRICT,OVERALL,489337,482109,3983,3245,246658,97699,135002,9978,417827,35943
GUJRAT,GUJRAT,DISTRICT,RURAL,284607,280643,2221,1743,79411,79323,117760,8113,243563,22719
GUJRAT,GUJRAT,DISTRICT,URBAN,204730,201466,1762,1502,167247,18376,17242,1865,174264,13224
GUJRAT,GUJRAT,TEHSIL,OVERALL,265944,261728,2303,1913,164539,35930,60283,5192,223505,21146
GUJRAT,GUJRAT,TEHSIL,RURAL,119914,118112,957,845,44509,23839,47767,3799,99783,11428
GUJRAT,GUJRAT,TEHSIL,URBAN,146030,143616,1346,1068,120030,12091,12516,1393,123722,9718
KHARIAN,GUJRAT,TEHSIL,OVERALL,179257,176953,1321,983,67875,52279,54583,4520,155368,12333
KHARIAN,GUJRAT,TEHSIL,RURAL,131982,130261,1009,712,29456,47703,50702,4121,115150,9297
KHARIAN,GUJRAT,TEHSIL,URBAN,47275,46692,312,271,38419,4576,3881,399,40218,3036
SARAI ALAMGIR,GUJRAT,TEHSIL,OVERALL,44136,43428,359,349,14244,9490,20136,266,38954,2464
SARAI ALAMGIR,GUJRAT,TEHSIL,RURAL,32711,32270,255,186,5446,7781,19291,193,28630,1994
SARAI ALAMGIR,GUJRAT,TEHSIL,URBAN,11425,11158,104,163,8798,1709,845,73,10324,470
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,197206,193493,1568,2145,145717,1870,43220,6399,131554,49145
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,120258,117799,950,1509,79791,405,35347,4715,75729,34007
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,76948,75694,618,636,65926,1465,7873,1684,55825,15138
HAFIZABAD,HAFIZABAD,TEHSIL,OVERALL,112158,110310,942,906,93150,1265,15227,2516,82558,20461
HAFIZABAD,HAFIZABAD,TEHSIL,RURAL,60129,58968,564,597,47388,228,10995,1518,42672,12590
HAFIZABAD,HAFIZABAD,TEHSIL,URBAN,52029,51342,378,309,45762,1037,4232,998,39886,7871
PINDI BHATTIAN,HAFIZABAD,TEHSIL,OVERALL,85048,83183,626,1239,52567,605,27993,3883,48996,28684
PINDI BHATTIAN,HAFIZABAD,TEHSIL,RURAL,60129,58831,386,912,32403,177,24352,3197,33057,21417
PINDI BHATTIAN,HAFIZABAD,TEHSIL,URBAN,24919,24352,240,327,20164,428,3641,686,15939,7267
JHANG,JHANG,DISTRICT,OVERALL,491999,454810,8880,28309,82034,11276,375435,23254,257744,172470
JHANG,JHANG,DISTRICT,RURAL,358141,324468,7692,25981,5338,2802,329313,20688,170059,142248
JHANG,JHANG,DISTRICT,URBAN,133858,130342,1188,2328,76696,8474,46122,2566,87685,30222
-HAZARI,JHANG,TEHSIL,OVERALL,56659,52546,1168,2945,286,640,51708,4025,28123,20488
-HAZARI,JHANG,TEHSIL,RURAL,51092,47197,1156,2739,261,463,46589,3779,25701,18379
-HAZARI,JHANG,TEHSIL,URBAN,5567,5349,12,206,25,177,5119,246,2422,2109
AHMADPUR SIAL,JHANG,TEHSIL,OVERALL,77488,69680,1533,6275,591,1248,71717,3932,32736,33769
AHMADPUR SIAL,JHANG,TEHSIL,RURAL,63820,57131,1336,5353,461,245,59935,3179,25386,29181
AHMADPUR SIAL,JHANG,TEHSIL,URBAN,13668,12549,197,922,130,1003,11782,753,7350,4588
JHANG,JHANG,TEHSIL,OVERALL,264032,247612,4179,12241,68128,8247,174880,12777,148500,82682
JHANG,JHANG,TEHSIL,RURAL,160731,146302,3260,11169,1074,1197,147094,11366,78481,61898
JHANG,JHANG,TEHSIL,URBAN,103301,101310,919,1072,67054,7050,27786,1411,70019,20784
SHORKOT,JHANG,TEHSIL,OVERALL,93820,84972,2000,6848,13029,1141,77130,2520,48385,35531
SHORKOT,JHANG,TEHSIL,RURAL,82498,73838,1940,6720,3542,897,75695,2364,40491,32790
SHORKOT,JHANG,TEHSIL,URBAN,11322,11134,60,128,9487,244,1435,156,7894,2741
JHELUM,JHELUM,DISTRICT,OVERALL,229064,224574,2391,2099,42313,67504,117362,1885,197967,14051
JHELUM,JHELUM,DISTRICT,RURAL,138838,135678,1666,1494,4663,31511,101479,1185,118457,10529
JHELUM,JHELUM,DISTRICT,URBAN,90226,88896,725,605,37650,35993,15883,700,79510,3522
DINA,JHELUM,TEHSIL,OVERALL,44385,43640,402,343,298,25111,18743,233,38181,1911
DINA,JHELUM,TEHSIL,RURAL,27616,27106,258,252,262,11778,15498,78,24227,1236
DINA,JHELUM,TEHSIL,URBAN,16769,16534,144,91,36,13333,3245,155,13954,675
JHELUM,JHELUM,TEHSIL,OVERALL,83046,81563,795,688,28433,29500,24477,636,72361,4562
JHELUM,JHELUM,TEHSIL,RURAL,31096,30324,431,341,136,11292,19319,349,25880,2735
JHELUM,JHELUM,TEHSIL,URBAN,51950,51239,364,347,28297,18208,5158,287,46481,1827
PIND DADAN KHAN,JHELUM,TEHSIL,OVERALL,63599,61941,851,807,12948,4407,45417,827,52864,5418
