name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
SARIAB,QUETTA,SUB-DIVISION,URBAN,INSTITUTIONAL,,,,,,0
SARIAB,QUETTA,SUB-DIVISION,URBAN,HOMELESS,,,,,,0
SARIAB,QUETTA,SUB-DIVISION,URBAN,TOTAL,65832,33763,32069,,7212,100
PANJPAI,QUETTA,SUB-TEHSIL,OVERALL,REGULAR,21356,10641,10715,,3398,99.97
PANJPAI,QUETTA,SUB-TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
PANJPAI,QUETTA,SUB-TEHSIL,OVERALL,HOMELESS,15,12,3,,1,.03
PANJPAI,QUETTA,SUB-TEHSIL,OVERALL,TOTAL,21371,10653,10718,,3399,100
PANJPAI,QUETTA,SUB-TEHSIL,RURAL,REGULAR,21356,10641,10715,,3398,99.97
PANJPAI,QUETTA,SUB-TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
PANJPAI,QUETTA,SUB-TEHSIL,RURAL,HOMELESS,15,12,3,,1,.03
PANJPAI,QUETTA,SUB-TEHSIL,RURAL,TOTAL,21371,10653,10718,,3399,100
PANJPAI,QUETTA,SUB-TEHSIL,URBAN,REGULAR,,,,,,0
PANJPAI,QUETTA,SUB-TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
PANJPAI,QUETTA,SUB-TEHSIL,URBAN,HOMELESS,,,,,,0
PANJPAI,QUETTA,SUB-TEHSIL,URBAN,TOTAL,,,,,,100
SHERANI,SHERANI,DISTRICT,OVERALL,REGULAR,191639,105315,86318,6,36100,99.98
SHERANI,SHERANI,DISTRICT,OVERALL,INSTITUTIONAL,33,22,11,,7,.02
SHERANI,SHERANI,DISTRICT,OVERALL,HOMELESS,1,1,,,1,0
SHERANI,SHERANI,DISTRICT,OVERALL,TOTAL,191673,105338,86329,6,36108,100
SHERANI,SHERANI,DISTRICT,RURAL,REGULAR,191639,105315,86318,6,36100,99.98
SHERANI,SHERANI,DISTRICT,RURAL,INSTITUTIONAL,33,22,11,,7,.02
SHERANI,SHERANI,DISTRICT,RURAL,HOMELESS,1,1,,,1,0
SHERANI,SHERANI,DISTRICT,RURAL,TOTAL,191673,105338,86329,6,36108,100
SHERANI,SHERANI,DISTRICT,URBAN,REGULAR,,,,,,0
SHERANI,SHERANI,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
SHERANI,SHERANI,DISTRICT,URBAN,HOMELESS,,,,,,0
SHERANI,SHERANI,DISTRICT,URBAN,TOTAL,,,,,,100
SHERANI,SHERANI,SUB-DIVISION,OVERALL,REGULAR,191639,105315,86318,6,36100,99.98
SHERANI,SHERANI,SUB-DIVISION,OVERALL,INSTITUTIONAL,33,22,11,,7,.02
SHERANI,SHERANI,SUB-DIVISION,OVERALL,HOMELESS,1,1,,,1,0
SHERANI,SHERANI,SUB-DIVISION,OVERALL,TOTAL,191673,105338,86329,6,36108,100
SHERANI,SHERANI,SUB-DIVISION,RURAL,REGULAR,191639,105315,86318,6,36100,99.98
SHERANI,SHERANI,SUB-DIVISION,RURAL,INSTITUTIONAL,33,22,11,,7,.02
SHERANI,SHERANI,SUB-DIVISION,RURAL,HOMELESS,1,1,,,1,0
SHERANI,SHERANI,SUB-DIVISION,RURAL,TOTAL,191673,105338,86329,6,36108,100
SHERANI,SHERANI,SUB-DIVISION,URBAN,REGULAR,,,,,,0
SHERANI,SHERANI,SUB-DIVISION,URBAN,INSTITUTIONAL,,,,,,0
SHERANI,SHERANI,SUB-DIVISION,URBAN,HOMELESS,,,,,,0
SHERANI,SHERANI,SUB-DIVISION,URBAN,TOTAL,,,,,,100
SIBI,SIBI,DISTRICT,OVERALL,REGULAR,224033,114944,109084,5,31296,99.98
SIBI,SIBI,DISTRICT,OVERALL,INSTITUTIONAL,3,2,1,,2,.01
SIBI,SIBI,DISTRICT,OVERALL,HOMELESS,112,87,25,,5,.02
SIBI,SIBI,DISTRICT,OVERALL,TOTAL,224148,115033,109110,5,31303,100
SIBI,SIBI,DISTRICT,RURAL,REGULAR,154734,79851,74878,5,19771,99.97
