name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
DINA,JHELUM,TEHSIL,URBAN,18739,209,5,22,15153,1939,728,82,601
JHELUM,JHELUM,TEHSIL,OVERALL,103233,366,25,68,83351,10695,3897,463,4368
JHELUM,JHELUM,TEHSIL,RURAL,43431,5,1,2,35430,4721,1175,151,1946
JHELUM,JHELUM,TEHSIL,URBAN,59802,361,24,66,47921,5974,2722,312,2422
PIND DADAN KHAN,JHELUM,TEHSIL,OVERALL,85435,5,,4,67444,13639,2045,313,1985
PIND DADAN KHAN,JHELUM,TEHSIL,RURAL,71703,4,,4,56860,11336,1532,247,1720
PIND DADAN KHAN,JHELUM,TEHSIL,URBAN,13732,1,,,10584,2303,513,66,265
SOHAWA,JHELUM,TEHSIL,OVERALL,54356,59,5,13,45136,6356,1121,91,1575
SOHAWA,JHELUM,TEHSIL,RURAL,40933,4,1,3,34072,4893,733,42,1185
SOHAWA,JHELUM,TEHSIL,URBAN,13423,55,4,10,11064,1463,388,49,390
KASUR,KASUR,DISTRICT,OVERALL,668853,163,16,38,514114,104330,32440,3858,13894
KASUR,KASUR,DISTRICT,RURAL,456857,12,2,13,353255,72209,19686,2849,8831
KASUR,KASUR,DISTRICT,URBAN,211996,151,14,25,160859,32121,12754,1009,5063
CHUNIAN,KASUR,TEHSIL,OVERALL,164741,2,3,1,126106,27320,7782,491,3036
CHUNIAN,KASUR,TEHSIL,RURAL,127712,,,1,98655,21002,5655,370,2029
CHUNIAN,KASUR,TEHSIL,URBAN,37029,2,3,,27451,6318,2127,121,1007
KASUR,KASUR,TEHSIL,OVERALL,257872,156,9,16,199110,38854,12775,801,6151
KASUR,KASUR,TEHSIL,RURAL,139599,9,1,1,108493,21429,6109,450,3107
KASUR,KASUR,TEHSIL,URBAN,118273,147,8,15,90617,17425,6666,351,3044
KOT RADHA KISHAN,KASUR,TEHSIL,OVERALL,64799,3,,1,50740,9054,3444,254,1303
KOT RADHA KISHAN,KASUR,TEHSIL,RURAL,47912,2,,1,37947,6782,2021,181,978
KOT RADHA KISHAN,KASUR,TEHSIL,URBAN,16887,1,,,12793,2272,1423,73,325
PATTOKI,KASUR,TEHSIL,OVERALL,181441,2,4,20,138158,29102,8439,2312,3404
PATTOKI,KASUR,TEHSIL,RURAL,141634,1,1,10,108160,22996,5901,1848,2717
PATTOKI,KASUR,TEHSIL,URBAN,39807,1,3,10,29998,6106,2538,464,687
KHANEWAL,KHANEWAL,DISTRICT,OVERALL,604303,12,11,8,472177,98350,21502,3264,8979
KHANEWAL,KHANEWAL,DISTRICT,RURAL,461085,4,8,7,365483,73148,14290,2522,5623
KHANEWAL,KHANEWAL,DISTRICT,URBAN,143218,8,3,1,106694,25202,7212,742,3356
JAHANIAN,KHANEWAL,TEHSIL,OVERALL,75808,,2,1,57939,13241,2748,291,1586
JAHANIAN,KHANEWAL,TEHSIL,RURAL,64767,,1,1,50610,10740,1972,163,1280
JAHANIAN,KHANEWAL,TEHSIL,URBAN,11041,,1,,7329,2501,776,128,306
KABIRWALA,KHANEWAL,TEHSIL,OVERALL,191899,6,3,4,147216,35014,5870,976,2810
KABIRWALA,KHANEWAL,TEHSIL,RURAL,155721,3,2,4,120888,27303,4610,835,2076
KABIRWALA,KHANEWAL,TEHSIL,URBAN,36178,3,1,,26328,7711,1260,141,734
KHANEWAL,KHANEWAL,TEHSIL,OVERALL,176013,6,6,3,139158,27360,5583,1220,2677
KHANEWAL,KHANEWAL,TEHSIL,RURAL,115928,1,5,2,93095,17669,2845,954,1357
KHANEWAL,KHANEWAL,TEHSIL,URBAN,60085,5,1,1,46063,9691,2738,266,1320
MIAN CHANNU,KHANEWAL,TEHSIL,OVERALL,160583,,,,127864,22735,7301,777,1906
MIAN CHANNU,KHANEWAL,TEHSIL,RURAL,124669,,,,100890,17436,4863,570,910
MIAN CHANNU,KHANEWAL,TEHSIL,URBAN,35914,,,,26974,5299,2438,207,996
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,291360,51,6,25,240117,37762,6115,2803,4481
KHUSHAB,KHUSHAB,DISTRICT,RURAL,208123,22,3,,175180,24766,3549,2244,2359
KHUSHAB,KHUSHAB,DISTRICT,URBAN,83237,29,3,25,64937,12996,2566,559,2122
KHUSHAB,KHUSHAB,TEHSIL,OVERALL,156758,29,6,18,128333,20524,4113,1226,2509
KHUSHAB,KHUSHAB,TEHSIL,RURAL,87413,21,3,,73244,10277,1902,830,1136
KHUSHAB,KHUSHAB,TEHSIL,URBAN,69345,8,3,18,55089,10247,2211,396,1373
NOOR PUR,KHUSHAB,TEHSIL,OVERALL,57181,,,,48553,7237,549,431,411
NOOR PUR,KHUSHAB,TEHSIL,RURAL,52720,,,,45390,6059,475,416,380
NOOR PUR,KHUSHAB,TEHSIL,URBAN,4461,,,,3163,1178,74,15,31
NOWSHERA,KHUSHAB,TEHSIL,OVERALL,31623,2,,2,25325,4882,669,226,517
NOWSHERA,KHUSHAB,TEHSIL,RURAL,26973,1,,,21930,3998,497,173,374
NOWSHERA,KHUSHAB,TEHSIL,URBAN,4650,1,,2,3395,884,172,53,143
QUAIDABAD,KHUSHAB,TEHSIL,OVERALL,45798,20,,5,37906,5119,784,920,1044
QUAIDABAD,KHUSHAB,TEHSIL,RURAL,41017,,,,34616,4432,675,825,469
QUAIDABAD,KHUSHAB,TEHSIL,URBAN,4781,20,,5,3290,687,109,95,575
LAHORE,LAHORE,DISTRICT,OVERALL,1794705,6447,1696,1952,1425565,180509,107705,7767,63065
LAHORE,LAHORE,DISTRICT,RURAL,,,,,,,,,
LAHORE,LAHORE,DISTRICT,URBAN,1794705,6447,1696,1952,1425565,180509,107705,7767,63065
LAHORE CANTT,LAHORE,TEHSIL,OVERALL,262479,1041,287,183,215146,23138,12428,396,9860
LAHORE CANTT,LAHORE,TEHSIL,RURAL,,,,,,,,,
LAHORE CANTT,LAHORE,TEHSIL,URBAN,262479,1041,287,183,215146,23138,12428,396,9860
LAHORE CITY,LAHORE,TEHSIL,OVERALL,516016,2333,1015,886,394383,58062,43671,4885,10782
LAHORE CITY,LAHORE,TEHSIL,RURAL,,,,,,,,,
LAHORE CITY,LAHORE,TEHSIL,URBAN,516016,2333,1015,886,394383,58062,43671,4885,10782
MODEL TOWN,LAHORE,TEHSIL,OVERALL,429421,1668,172,493,349444,38138,22935,1155,15416
MODEL TOWN,LAHORE,TEHSIL,RURAL,,,,,,,,,
