name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
FEROZABAD,KARACHI EAST,SUB-DIVISION,OVERALL,180708,105070,70116,3102,1288,212,920,165128,13160,40130,62942,43049,34587
FEROZABAD,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,,,,
FEROZABAD,KARACHI EAST,SUB-DIVISION,URBAN,180708,105070,70116,3102,1288,212,920,165128,13160,40130,62942,43049,34587
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,OVERALL,179357,99500,67114,2900,8298,162,1383,148830,20684,18479,37222,51387,72269
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,,,,
GULSHAN-E-IQBAL,KARACHI EAST,SUB-DIVISION,URBAN,179357,99500,67114,2900,8298,162,1383,148830,20684,18479,37222,51387,72269
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,OVERALL,193691,107534,79712,4223,483,72,1667,181787,9682,35293,61497,53031,43870
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,,,,
GULZAR-E-HIJRI,KARACHI EAST,SUB-DIVISION,URBAN,193691,107534,79712,4223,483,72,1667,181787,9682,35293,61497,53031,43870
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,OVERALL,105633,65446,33618,1600,4088,232,649,91011,9653,13775,30960,33681,27217
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,RURAL,,,,,,,,,,,,,
JAMSHED QUARTERS,KARACHI EAST,SUB-DIVISION,URBAN,105633,65446,33618,1600,4088,232,649,91011,9653,13775,30960,33681,27217
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,425093,242706,160029,5315,13876,482,2685,376539,31511,92433,162662,107676,62322
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,425093,242706,160029,5315,13876,482,2685,376539,31511,92433,162662,107676,62322
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,OVERALL,44611,23657,19041,306,1470,36,101,38959,4045,6043,19527,14884,4157
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,,,,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,URBAN,44611,23657,19041,306,1470,36,101,38959,4045,6043,19527,14884,4157
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,OVERALL,95323,52001,36083,2179,4206,146,708,82972,7291,15864,25508,25070,28881
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,,,,
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,URBAN,95323,52001,36083,2179,4206,146,708,82972,7291,15864,25508,25070,28881
GARDEN,KARACHI SOUTH,SUB-DIVISION,OVERALL,89718,49526,35107,1203,3276,115,491,78370,7466,20658,33501,26121,9438
GARDEN,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,,,,
GARDEN,KARACHI SOUTH,SUB-DIVISION,URBAN,89718,49526,35107,1203,3276,115,491,78370,7466,20658,33501,26121,9438
LYARI,KARACHI SOUTH,SUB-DIVISION,OVERALL,166943,102724,60047,1174,1696,52,1250,153678,10267,46124,74449,32790,13580
LYARI,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,,,,
LYARI,KARACHI SOUTH,SUB-DIVISION,URBAN,166943,102724,60047,1174,1696,52,1250,153678,10267,46124,74449,32790,13580
SADDAR,KARACHI SOUTH,SUB-DIVISION,OVERALL,28498,14798,9751,453,3228,133,135,22560,2442,3744,9677,8811,6266
SADDAR,KARACHI SOUTH,SUB-DIVISION,RURAL,,,,,,,,,,,,,
SADDAR,KARACHI SOUTH,SUB-DIVISION,URBAN,28498,14798,9751,453,3228,133,135,22560,2442,3744,9677,8811,6266
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,464756,311253,142815,8869,408,240,1171,426911,36026,103631,179563,112941,68621
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,43348,29098,13019,780,189,16,246,41115,1782,8120,16389,11250,7589
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,421408,282155,129796,8089,219,224,925,385796,34244,95511,163174,101691,61032
MANGHOPIR,KARACHI WEST,SUB-DIVISION,OVERALL,195372,129915,60468,3814,229,137,809,180157,14040,31418,75812,55858,32284
MANGHOPIR,KARACHI WEST,SUB-DIVISION,RURAL,43348,29098,13019,780,189,16,246,41115,1782,8120,16389,11250,7589
MANGHOPIR,KARACHI WEST,SUB-DIVISION,URBAN,152024,100817,47449,3034,40,121,563,139042,12258,23298,59423,44608,24695
MOMINABAD,KARACHI WEST,SUB-DIVISION,OVERALL,174256,123904,46602,3345,98,73,234,157738,16113,42624,67017,39656,24959
MOMINABAD,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,,,,,,,
MOMINABAD,KARACHI WEST,SUB-DIVISION,URBAN,174256,123904,46602,3345,98,73,234,157738,16113,42624,67017,39656,24959
ORANGI,KARACHI WEST,SUB-DIVISION,OVERALL,95128,57434,35745,1710,81,30,128,89016,5873,29589,36734,17427,11378
ORANGI,KARACHI WEST,SUB-DIVISION,RURAL,,,,,,,,,,,,,
ORANGI,KARACHI WEST,SUB-DIVISION,URBAN,95128,57434,35745,1710,81,30,128,89016,5873,29589,36734,17427,11378
KASHMORE,KASHMORE,DISTRICT,OVERALL,208894,174185,11739,14074,2372,283,6241,196511,3487,144135,45291,12999,6469
KASHMORE,KASHMORE,DISTRICT,RURAL,162939,140023,4140,12149,687,229,5711,153678,2634,118538,31727,8624,4050
KASHMORE,KASHMORE,DISTRICT,URBAN,45955,34162,7599,1925,1685,54,530,42833,853,25597,13564,4375,2419
KANDHKOT,KASHMORE,TALUKA,OVERALL,69182,59306,6099,2560,176,14,1027,67005,960,40626,19174,5838,3544
KANDHKOT,KASHMORE,TALUKA,RURAL,43791,39688,1181,1936,21,10,955,42266,539,25631,12129,3859,2172
KANDHKOT,KASHMORE,TALUKA,URBAN,25391,19618,4918,624,155,4,72,24739,421,14995,7045,1979,1372
KASHMORE,KASHMORE,TALUKA,OVERALL,81957,67410,4193,5331,2167,141,2715,75536,1398,58785,16398,4755,2019
KASHMORE,KASHMORE,TALUKA,RURAL,65838,55761,1777,4975,646,120,2559,61411,1102,51163,11129,2536,1010
KASHMORE,KASHMORE,TALUKA,URBAN,16119,11649,2416,356,1521,21,156,14125,296,7622,5269,2219,1009
TANGWANI,KASHMORE,TALUKA,OVERALL,57755,47469,1447,6183,29,128,2499,53970,1129,44724,9719,2406,906
TANGWANI,KASHMORE,TALUKA,RURAL,53310,44574,1182,5238,20,99,2197,50001,993,41744,8469,2229,868
TANGWANI,KASHMORE,TALUKA,URBAN,4445,2895,265,945,9,29,302,3969,136,2980,1250,177,38
KEAMARI,KEAMARI,DISTRICT,OVERALL,319121,198739,108976,3521,6744,172,969,297085,14151,87264,129101,58985,43771
KEAMARI,KEAMARI,DISTRICT,RURAL,,,,,,,,,,,,,
KEAMARI,KEAMARI,DISTRICT,URBAN,319121,198739,108976,3521,6744,172,969,297085,14151,87264,129101,58985,43771
BALDIA,KEAMARI,SUB-DIVISION,OVERALL,148116,96794,49561,1274,167,79,241,140107,7522,32673,62268,31785,21390
BALDIA,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,,,,
BALDIA,KEAMARI,SUB-DIVISION,URBAN,148116,96794,49561,1274,167,79,241,140107,7522,32673,62268,31785,21390
KEAMARI,KEAMARI,SUB-DIVISION,OVERALL,68571,40421,24449,832,2764,15,90,63541,2161,25697,24745,9980,8149
KEAMARI,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,,,,
KEAMARI,KEAMARI,SUB-DIVISION,URBAN,68571,40421,24449,832,2764,15,90,63541,2161,25697,24745,9980,8149
MAURIPUR,KEAMARI,SUB-DIVISION,OVERALL,37369,25465,7680,536,3189,19,480,31895,1786,11741,14800,6342,4486
MAURIPUR,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,,,,
MAURIPUR,KEAMARI,SUB-DIVISION,URBAN,37369,25465,7680,536,3189,19,480,31895,1786,11741,14800,6342,4486
SITE,KEAMARI,SUB-DIVISION,OVERALL,65065,36059,27286,879,624,59,158,61542,2682,17153,27288,10878,9746
SITE,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,,,,
SITE,KEAMARI,SUB-DIVISION,URBAN,65065,36059,27286,879,624,59,158,61542,2682,17153,27288,10878,9746
KHAIRPUR,KHAIRPUR,DISTRICT,OVERALL,452250,416691,14502,14837,1776,406,4038,433417,12613,295762,113706,28459,14323
KHAIRPUR,KHAIRPUR,DISTRICT,RURAL,305732,289378,2234,10237,643,295,2945,293473,8376,217415,68969,13877,5471
KHAIRPUR,KHAIRPUR,DISTRICT,URBAN,146518,127313,12268,4600,1133,111,1093,139944,4237,78347,44737,14582,8852
FAIZ GANJ,KHAIRPUR,TALUKA,OVERALL,47365,41547,743,4078,42,10,945,44692,1676,37013,8333,1453,566
FAIZ GANJ,KHAIRPUR,TALUKA,RURAL,37892,33956,222,2937,29,10,738,35790,1325,29995,6492,1021,384
FAIZ GANJ,KHAIRPUR,TALUKA,URBAN,9473,7591,521,1141,13,,207,8902,351,7018,1841,432,182
