name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
JAFFARABAD,DISTRICT,JAFFARABAD,URBAN,,163393,82951,80434,8,103.13,,,8.6,157711,.59
GANDAKHA,TEHSIL,JAFFARABAD,OVERALL,554,81190,40638,40552,,100.21,146.55,,5.6,74881,1.36
GANDAKHA,TEHSIL,JAFFARABAD,RURAL,,81190,40638,40552,,100.21,,,5.6,74881,1.36
GANDAKHA,TEHSIL,JAFFARABAD,URBAN,,,,,,,,,,,
JHAT PAT,SUB-DIVISION,JAFFARABAD,OVERALL,690,302498,154409,148084,5,104.27,438.4,32.65,8,253107,3.02
JHAT PAT,SUB-DIVISION,JAFFARABAD,RURAL,,203737,103665,100069,3,103.59,,,7.5,172149,2.86
JHAT PAT,SUB-DIVISION,JAFFARABAD,URBAN,,98761,50744,48015,2,105.68,,,9.1,80958,3.38
USTA MUHAMMAD,SUB-DIVISION,JAFFARABAD,OVERALL,399,210870,106323,104541,6,101.7,528.5,30.65,7.1,185984,2.12
USTA MUHAMMAD,SUB-DIVISION,JAFFARABAD,RURAL,,146238,74116,72122,,102.76,,,6.7,109231,5
USTA MUHAMMAD,SUB-DIVISION,JAFFARABAD,URBAN,,64632,32207,32419,6,99.34999999999999,,,8,76753,-2.83
JHAL MAGSI,DISTRICT,JHAL MAGSI,OVERALL,3615,203368,103422,99933,13,103.49,56.26,11.87,6.5,148900,5.35
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,,179238,91912,87315,11,105.26,,,6.5,141085,4.08
JHAL MAGSI,DISTRICT,JHAL MAGSI,URBAN,,24130,11510,12618,2,91.22,,,6.5,7815,20.73
GANDAWA,TEHSIL,JHAL MAGSI,OVERALL,1344,71230,35268,35960,2,98.08,53,33.88,6.4,51180,5.68
GANDAWA,TEHSIL,JHAL MAGSI,RURAL,,47100,23758,23342,,101.78,,,6.3,43365,1.39
GANDAWA,TEHSIL,JHAL MAGSI,URBAN,,24130,11510,12618,2,91.22,,,6.5,7815,20.73
JHAL MAGSI,TEHSIL,JHAL MAGSI,OVERALL,1679,116528,60357,56160,11,107.47,69.40000000000001,,6.7,88279,4.75
JHAL MAGSI,TEHSIL,JHAL MAGSI,RURAL,,116528,60357,56160,11,107.47,,,6.7,88279,4.75
JHAL MAGSI,TEHSIL,JHAL MAGSI,URBAN,,,,,,,,,,,
MIRPUR,SUB-TEHSIL,JHAL MAGSI,OVERALL,592,15610,7797,7813,,99.8,26.37,,5.8,9441,8.77
MIRPUR,SUB-TEHSIL,JHAL MAGSI,RURAL,,15610,7797,7813,,99.8,,,5.8,9441,8.77
MIRPUR,SUB-TEHSIL,JHAL MAGSI,URBAN,,,,,,,,,,,
KACHHI,DISTRICT,KACHHI,OVERALL,5682,442674,233584,209056,34,111.73,77.91,18.17,8.800000000000001,308000,6.25
KACHHI,DISTRICT,KACHHI,RURAL,,362222,192336,169859,27,113.23,,,8.699999999999999,257020,5.9
KACHHI,DISTRICT,KACHHI,URBAN,,80452,41248,39197,7,105.23,,,9.300000000000001,50980,7.92
BALANARI,SUB-TEHSIL,KACHHI,OVERALL,402,60158,32345,27811,2,116.3,149.65,,9.199999999999999,43341,5.63
BALANARI,SUB-TEHSIL,KACHHI,RURAL,,60158,32345,27811,2,116.3,,,9.199999999999999,43341,5.63
BALANARI,SUB-TEHSIL,KACHHI,URBAN,,,,,,,,,,,
BHAG,SUB-DIVISION,KACHHI,OVERALL,1308,83687,42454,41230,3,102.97,63.98,22.27,5.1,71527,2.66
BHAG,SUB-DIVISION,KACHHI,RURAL,,65053,33326,31725,2,105.05,,,5,54927,2.87
BHAG,SUB-DIVISION,KACHHI,URBAN,,18634,9128,9505,1,96.03,,,5.4,16600,1.95
DHADAR,SUB-DIVISION,KACHHI,OVERALL,976,49836,25647,24187,2,106.04,51.06,34.67,6.9,42389,2.74
DHADAR,SUB-DIVISION,KACHHI,RURAL,,32560,17111,15447,2,110.77,,,7.4,27149,3.08
