name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URBAN,,,,,,,,,,,,,
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,OVERALL,19313,18033,220,830,6,8,216,16569,2514,5101,6433,4019,3760
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,RURAL,19313,18033,220,830,6,8,216,16569,2514,5101,6433,4019,3760
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,URBAN,,,,,,,,,,,,,
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,OVERALL,14670,13130,108,1296,9,6,121,13826,708,4604,4690,2666,2710
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,RURAL,14670,13130,108,1296,9,6,121,13826,708,4604,4690,2666,2710
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,URBAN,,,,,,,,,,,,,
KURRAM,KURRAM,DISTRICT,OVERALL,94548,80241,8276,5270,428,44,289,89400,4387,20360,29408,18336,26444
KURRAM,KURRAM,DISTRICT,RURAL,89810,77765,6352,5108,285,39,261,84975,4250,19721,28257,17283,24549
KURRAM,KURRAM,DISTRICT,URBAN,4738,2476,1924,162,143,5,28,4425,137,639,1151,1053,1895
CENTRAL KURRAM F.R,KURRAM,TEHSIL,OVERALL,41111,38208,1070,1690,8,7,128,39219,1749,10144,14519,7713,8735
CENTRAL KURRAM F.R,KURRAM,TEHSIL,RURAL,41111,38208,1070,1690,8,7,128,39219,1749,10144,14519,7713,8735
CENTRAL KURRAM F.R,KURRAM,TEHSIL,URBAN,,,,,,,,,,,,,
