name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
MIRWAH,KHAIRPUR,TALUKA,URBAN,17368,10945,3288,3135,4844,35,12197,292,6973,6443
NARA,KHAIRPUR,TALUKA,OVERALL,32911,13197,6116,13598,1334,13,30684,880,13695,16688
NARA,KHAIRPUR,TALUKA,RURAL,25084,9085,4442,11557,111,3,24242,728,10227,13061
NARA,KHAIRPUR,TALUKA,URBAN,7827,4112,1674,2041,1223,10,6442,152,3468,3627
SOBHO DERO,KHAIRPUR,TALUKA,OVERALL,48003,26240,12158,9605,12222,112,34360,1309,18413,18357
SOBHO DERO,KHAIRPUR,TALUKA,RURAL,31904,15324,10574,6006,4943,13,26174,774,10982,14061
SOBHO DERO,KHAIRPUR,TALUKA,URBAN,16099,10916,1584,3599,7279,99,8186,535,7431,4296
KORANGI,KORANGI,DISTRICT,OVERALL,493050,487964,2948,2138,476582,9788,4605,2075,384988,5133
KORANGI,KORANGI,DISTRICT,RURAL,,,,,,,,,,
KORANGI,KORANGI,DISTRICT,URBAN,493050,487964,2948,2138,476582,9788,4605,2075,384988,5133
KORANGI,KORANGI,SUB-DIVISION,OVERALL,207086,204781,1196,1109,195916,7367,2470,1333,156413,2882
KORANGI,KORANGI,SUB-DIVISION,RURAL,,,,,,,,,,
