name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
TANGWANI,KASHMORE,TALUKA,URBAN,4445,4387,4284,161,2195,2189,3,,,58
KEAMARI,KEAMARI,DISTRICT,OVERALL,319121,302513,122386,196735,112303,34803,2119,7798,16750,145348
KEAMARI,KEAMARI,DISTRICT,RURAL,,,,,,,,,,
KEAMARI,KEAMARI,DISTRICT,URBAN,319121,302513,122386,196735,112303,34803,2119,7798,16750,145348
BALDIA,KEAMARI,SUB-DIVISION,OVERALL,148116,141370,62215,85901,60424,10843,1001,1172,4720,69956
BALDIA,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,
BALDIA,KEAMARI,SUB-DIVISION,URBAN,148116,141370,62215,85901,60424,10843,1001,1172,4720,69956
KEAMARI,KEAMARI,SUB-DIVISION,OVERALL,68571,64161,18667,49904,14204,9148,232,1750,6202,37035
KEAMARI,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,
KEAMARI,KEAMARI,SUB-DIVISION,URBAN,68571,64161,18667,49904,14204,9148,232,1750,6202,37035
MAURIPUR,KEAMARI,SUB-DIVISION,OVERALL,37369,35335,10106,27263,8502,3533,438,717,1767,22412
MAURIPUR,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,
MAURIPUR,KEAMARI,SUB-DIVISION,URBAN,37369,35335,10106,27263,8502,3533,438,717,1767,22412
SITE,KEAMARI,SUB-DIVISION,OVERALL,65065,61647,31398,33667,29173,11279,448,4159,4061,15945
SITE,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,,
SITE,KEAMARI,SUB-DIVISION,URBAN,65065,61647,31398,33667,29173,11279,448,4159,4061,15945
KHAIRPUR,KHAIRPUR,DISTRICT,OVERALL,452250,439790,376873,75377,188536,244805,5512,299,2149,10949
KHAIRPUR,KHAIRPUR,DISTRICT,RURAL,305732,295591,251860,53872,140276,152602,5062,151,269,7372
KHAIRPUR,KHAIRPUR,DISTRICT,URBAN,146518,144199,125013,21505,48260,92203,450,148,1880,3577
FAIZ GANJ,KHAIRPUR,TALUKA,OVERALL,47365,46491,27705,19660,16149,29799,146,2,202,1067
FAIZ GANJ,KHAIRPUR,TALUKA,RURAL,37892,37152,21270,16622,13944,22693,135,,199,921
FAIZ GANJ,KHAIRPUR,TALUKA,URBAN,9473,9339,6435,3038,2205,7106,11,2,3,146
GAMBAT,KHAIRPUR,TALUKA,OVERALL,47323,46886,46184,1139,21278,25536,81,2,,426
GAMBAT,KHAIRPUR,TALUKA,RURAL,30107,29705,29289,818,15968,13691,54,,,394
GAMBAT,KHAIRPUR,TALUKA,URBAN,17216,17181,16895,321,5310,11845,27,2,,32
KHAIRPUR,KHAIRPUR,TALUKA,OVERALL,87201,84970,70811,16390,36219,46133,345,135,1656,2713
KHAIRPUR,KHAIRPUR,TALUKA,RURAL,40498,39422,34680,5818,20300,19016,273,2,1,906
KHAIRPUR,KHAIRPUR,TALUKA,URBAN,46703,45548,36131,10572,15919,27117,72,133,1655,1807
KINGRI,KHAIRPUR,TALUKA,OVERALL,59508,58276,56987,2521,22560,35248,279,129,213,1079
KINGRI,KHAIRPUR,TALUKA,RURAL,43524,42423,41526,1998,16176,26016,250,127,7,948
KINGRI,KHAIRPUR,TALUKA,URBAN,15984,15853,15461,523,6384,9232,29,2,206,131
KOT DIJI,KHAIRPUR,TALUKA,OVERALL,62663,60100,46659,16004,35421,23616,770,14,45,2797
KOT DIJI,KHAIRPUR,TALUKA,RURAL,46815,44512,34346,12469,27847,16341,654,8,33,1932
KOT DIJI,KHAIRPUR,TALUKA,URBAN,15848,15588,12313,3535,7574,7275,116,6,12,865
MIRWAH,KHAIRPUR,TALUKA,OVERALL,67276,65780,59326,7950,31460,34162,215,11,12,1416
MIRWAH,KHAIRPUR,TALUKA,RURAL,49908,48728,43228,6680,25757,22858,158,11,10,1114
MIRWAH,KHAIRPUR,TALUKA,URBAN,17368,17052,16098,1270,5703,11304,57,,2,302
NARA,KHAIRPUR,TALUKA,OVERALL,32911,30175,22787,10124,15816,12969,3513,2,19,592
NARA,KHAIRPUR,TALUKA,RURAL,25084,22552,16912,8172,12884,8407,3392,,18,383
NARA,KHAIRPUR,TALUKA,URBAN,7827,7623,5875,1952,2932,4562,121,2,1,209
SOBHO DERO,KHAIRPUR,TALUKA,OVERALL,48003,47112,46414,1589,9633,37342,163,4,2,859
SOBHO DERO,KHAIRPUR,TALUKA,RURAL,31904,31097,30609,1295,7400,23580,146,3,1,774
SOBHO DERO,KHAIRPUR,TALUKA,URBAN,16099,16015,15805,294,2233,13762,17,1,1,85
KORANGI,KORANGI,DISTRICT,OVERALL,493050,482881,272562,220488,187119,131790,2032,49786,63672,58651
KORANGI,KORANGI,DISTRICT,RURAL,,,,,,,,,,
KORANGI,KORANGI,DISTRICT,URBAN,493050,482881,272562,220488,187119,131790,2032,49786,63672,58651
KORANGI,KORANGI,SUB-DIVISION,OVERALL,207086,201710,124477,82609,87893,51075,922,7795,12751,46650
KORANGI,KORANGI,SUB-DIVISION,RURAL,,,,,,,,,,
