name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
KANDHKOT,KASHMORE,TALUKA,RURAL,35596,3,,,32523,1986,55,809,220
KANDHKOT,KASHMORE,TALUKA,URBAN,20805,9,1,13,15177,4534,661,118,292
KASHMORE,KASHMORE,TALUKA,OVERALL,68230,96,1,2,52421,10242,696,3936,836
KASHMORE,KASHMORE,TALUKA,RURAL,49903,92,,1,40068,5321,341,3578,502
KASHMORE,KASHMORE,TALUKA,URBAN,18327,4,1,1,12353,4921,355,358,334
TANGWANI,KASHMORE,TALUKA,OVERALL,46412,1,,1,39715,4278,393,1560,464
TANGWANI,KASHMORE,TALUKA,RURAL,42481,,,1,37160,3084,343,1515,378
TANGWANI,KASHMORE,TALUKA,URBAN,3931,1,,,2555,1194,50,45,86
KEAMARI,KEAMARI,DISTRICT,OVERALL,277215,3123,130,1629,220325,24396,16995,1131,9486
KEAMARI,KEAMARI,DISTRICT,RURAL,,,,,,,,,
KEAMARI,KEAMARI,DISTRICT,URBAN,277215,3123,130,1629,220325,24396,16995,1131,9486
BALDIA,KEAMARI,SUB-DIVISION,OVERALL,137382,665,26,254,116129,7442,7913,146,4807
BALDIA,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,
BALDIA,KEAMARI,SUB-DIVISION,URBAN,137382,665,26,254,116129,7442,7913,146,4807
KEAMARI,KEAMARI,SUB-DIVISION,OVERALL,51075,823,17,307,42021,4090,2738,12,1067
KEAMARI,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,
KEAMARI,KEAMARI,SUB-DIVISION,URBAN,51075,823,17,307,42021,4090,2738,12,1067
MAURIPUR,KEAMARI,SUB-DIVISION,OVERALL,44555,215,1,7,33606,5386,1708,953,2679
MAURIPUR,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,
MAURIPUR,KEAMARI,SUB-DIVISION,URBAN,44555,215,1,7,33606,5386,1708,953,2679
SITE,KEAMARI,SUB-DIVISION,OVERALL,44203,1420,86,1061,28569,7478,4636,20,933
SITE,KEAMARI,SUB-DIVISION,RURAL,,,,,,,,,
SITE,KEAMARI,SUB-DIVISION,URBAN,44203,1420,86,1061,28569,7478,4636,20,933
KHAIRPUR,KHAIRPUR,DISTRICT,OVERALL,450478,85,6,39,346612,59922,7255,30609,5950
KHAIRPUR,KHAIRPUR,DISTRICT,RURAL,295183,58,3,16,231896,32533,2752,24757,3168
KHAIRPUR,KHAIRPUR,DISTRICT,URBAN,155295,27,3,23,114716,27389,4503,5852,2782
FAIZ GANJ,KHAIRPUR,TALUKA,OVERALL,48962,3,,10,36374,5812,369,6053,341
FAIZ GANJ,KHAIRPUR,TALUKA,RURAL,39699,3,,9,29905,4184,163,5146,289
FAIZ GANJ,KHAIRPUR,TALUKA,URBAN,9263,,,1,6469,1628,206,907,52
GAMBAT,KHAIRPUR,TALUKA,OVERALL,44546,9,,1,35721,6358,999,810,648
GAMBAT,KHAIRPUR,TALUKA,RURAL,25993,1,,,21579,3387,186,587,253
GAMBAT,KHAIRPUR,TALUKA,URBAN,18553,8,,1,14142,2971,813,223,395
KHAIRPUR,KHAIRPUR,TALUKA,OVERALL,82332,14,4,9,63515,10731,2591,3726,1742
KHAIRPUR,KHAIRPUR,TALUKA,RURAL,35639,2,2,,27406,4311,485,2817,616
KHAIRPUR,KHAIRPUR,TALUKA,URBAN,46693,12,2,9,36109,6420,2106,909,1126
KINGRI,KHAIRPUR,TALUKA,OVERALL,58110,14,,,45088,9388,936,1989,695
KINGRI,KHAIRPUR,TALUKA,RURAL,38873,14,,,31399,4872,517,1774,297
KINGRI,KHAIRPUR,TALUKA,URBAN,19237,,,,13689,4516,419,215,398
KOT DIJI,KHAIRPUR,TALUKA,OVERALL,61704,14,1,1,46251,7522,550,6357,1008
KOT DIJI,KHAIRPUR,TALUKA,RURAL,46333,14,,1,35302,4574,332,5290,820
KOT DIJI,KHAIRPUR,TALUKA,URBAN,15371,,1,,10949,2948,218,1067,188
MIRWAH,KHAIRPUR,TALUKA,OVERALL,68677,12,,9,53699,8298,1038,4787,834
MIRWAH,KHAIRPUR,TALUKA,RURAL,50140,7,,1,39485,5386,740,3999,522
MIRWAH,KHAIRPUR,TALUKA,URBAN,18537,5,,8,14214,2912,298,788,312
NARA,KHAIRPUR,TALUKA,OVERALL,35815,1,,,27583,2994,131,4821,285
NARA,KHAIRPUR,TALUKA,RURAL,26693,1,,,21258,1635,46,3582,171
NARA,KHAIRPUR,TALUKA,URBAN,9122,,,,6325,1359,85,1239,114
SOBHO DERO,KHAIRPUR,TALUKA,OVERALL,50332,18,1,9,38381,8819,641,2066,397
SOBHO DERO,KHAIRPUR,TALUKA,RURAL,31813,16,1,5,25562,4184,283,1562,200
SOBHO DERO,KHAIRPUR,TALUKA,URBAN,18519,2,,4,12819,4635,358,504,197
KORANGI,KORANGI,DISTRICT,OVERALL,309400,4190,64,1067,257961,19651,19674,511,6282
KORANGI,KORANGI,DISTRICT,RURAL,,,,,,,,,
KORANGI,KORANGI,DISTRICT,URBAN,309400,4190,64,1067,257961,19651,19674,511,6282
KORANGI,KORANGI,SUB-DIVISION,OVERALL,141660,2031,37,573,117532,9635,8162,127,3563
KORANGI,KORANGI,SUB-DIVISION,RURAL,,,,,,,,,
KORANGI,KORANGI,SUB-DIVISION,URBAN,141660,2031,37,573,117532,9635,8162,127,3563
LANDHI,KORANGI,SUB-DIVISION,OVERALL,70469,367,15,103,57389,6276,4961,213,1145
LANDHI,KORANGI,SUB-DIVISION,RURAL,,,,,,,,,
LANDHI,KORANGI,SUB-DIVISION,URBAN,70469,367,15,103,57389,6276,4961,213,1145
MODEL COLONY,KORANGI,SUB-DIVISION,OVERALL,47125,176,4,55,41089,2018,3036,57,690
MODEL COLONY,KORANGI,SUB-DIVISION,RURAL,,,,,,,,,
MODEL COLONY,KORANGI,SUB-DIVISION,URBAN,47125,176,4,55,41089,2018,3036,57,690
SHAH FAISAL,KORANGI,SUB-DIVISION,OVERALL,50146,1616,8,336,41951,1722,3515,114,884
SHAH FAISAL,KORANGI,SUB-DIVISION,RURAL,,,,,,,,,
