name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,OVERALL,87569,87045,59353,28216,10471,69146,172,7239,13,528
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,RURAL,79617,79377,55352,24265,8752,64379,162,6073,9,242
NOWSHERA VIRKAN,GUJRANWALA,TEHSIL,URBAN,7952,7668,4001,3951,1719,4767,10,1166,4,286
WAZIRABAD,GUJRANWALA,TEHSIL,OVERALL,142381,141097,105547,36834,20431,104798,268,15485,15,1384
WAZIRABAD,GUJRANWALA,TEHSIL,RURAL,87761,87181,68859,18902,11393,69587,175,6019,6,581
WAZIRABAD,GUJRANWALA,TEHSIL,URBAN,54620,53916,36688,17932,9038,35211,93,9466,9,803
GUJRAT,GUJRAT,DISTRICT,OVERALL,489337,484430,329488,159849,63421,378254,1630,40263,485,5284
GUJRAT,GUJRAT,DISTRICT,RURAL,284607,281357,218665,65942,29194,241440,685,9931,87,3270
GUJRAT,GUJRAT,DISTRICT,URBAN,204730,203073,110823,93907,34227,136814,945,30332,398,2014
GUJRAT,GUJRAT,TEHSIL,OVERALL,265944,263945,152418,113526,41629,194862,1171,26123,149,2010
GUJRAT,GUJRAT,TEHSIL,RURAL,119914,118807,84849,35065,13980,101548,350,2895,22,1119
GUJRAT,GUJRAT,TEHSIL,URBAN,146030,145138,67569,78461,27649,93314,821,23228,127,891
KHARIAN,GUJRAT,TEHSIL,OVERALL,179257,176896,139287,39970,19498,146918,342,9470,307,2722
KHARIAN,GUJRAT,TEHSIL,RURAL,131982,130094,102598,29384,13495,109620,255,6662,59,1891
KHARIAN,GUJRAT,TEHSIL,URBAN,47275,46802,36689,10586,6003,37298,87,2808,248,831
SARAI ALAMGIR,GUJRAT,TEHSIL,OVERALL,44136,43589,37783,6353,2294,36474,117,4670,29,552
SARAI ALAMGIR,GUJRAT,TEHSIL,RURAL,32711,32456,31218,1493,1719,30272,80,374,6,260
SARAI ALAMGIR,GUJRAT,TEHSIL,URBAN,11425,11133,6565,4860,575,6202,37,4296,23,292
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,197206,186823,142983,54223,52401,118667,383,11376,191,14188
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,120258,117673,96569,23689,34350,76705,216,4010,85,4892
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,76948,69150,46414,30534,18051,41962,167,7366,106,9296
HAFIZABAD,HAFIZABAD,TEHSIL,OVERALL,112158,104478,84034,28124,26613,70504,250,6905,86,7800
HAFIZABAD,HAFIZABAD,TEHSIL,RURAL,60129,59031,52543,7586,15111,42184,112,1557,15,1150
HAFIZABAD,HAFIZABAD,TEHSIL,URBAN,52029,45447,31491,20538,11502,28320,138,5348,71,6650
PINDI BHATTIAN,HAFIZABAD,TEHSIL,OVERALL,85048,82345,58949,26099,25788,48163,133,4471,105,6388
PINDI BHATTIAN,HAFIZABAD,TEHSIL,RURAL,60129,58642,44026,16103,19239,34521,104,2453,70,3742
PINDI BHATTIAN,HAFIZABAD,TEHSIL,URBAN,24919,23703,14923,9996,6549,13642,29,2018,35,2646
JHANG,JHANG,DISTRICT,OVERALL,491999,486121,454573,37426,114792,352510,1029,17210,671,5787
JHANG,JHANG,DISTRICT,RURAL,358141,352974,340638,17503,96894,253388,719,1956,114,5070
JHANG,JHANG,DISTRICT,URBAN,133858,133147,113935,19923,17898,99122,310,15254,557,717
-HAZARI,JHANG,TEHSIL,OVERALL,56659,56218,54100,2559,16983,39096,78,31,35,436
-HAZARI,JHANG,TEHSIL,RURAL,51092,50664,48686,2406,15291,35265,73,26,14,423
-HAZARI,JHANG,TEHSIL,URBAN,5567,5554,5414,153,1692,3831,5,5,21,13
AHMADPUR SIAL,JHANG,TEHSIL,OVERALL,77488,76632,75644,1844,32661,43846,117,20,5,839
AHMADPUR SIAL,JHANG,TEHSIL,RURAL,63820,63038,62214,1606,27994,34961,84,5,5,771
AHMADPUR SIAL,JHANG,TEHSIL,URBAN,13668,13594,13430,238,4667,8885,33,15,,68
JHANG,JHANG,TEHSIL,OVERALL,264032,261092,235791,28241,45240,198517,664,16123,586,2902
JHANG,JHANG,TEHSIL,RURAL,160731,158341,151748,8983,38061,118850,408,1020,52,2340
JHANG,JHANG,TEHSIL,URBAN,103301,102751,84043,19258,7179,79667,256,15103,534,562
SHORKOT,JHANG,TEHSIL,OVERALL,93820,92179,89038,4782,19908,71051,170,1036,45,1610
SHORKOT,JHANG,TEHSIL,RURAL,82498,80931,77990,4508,15548,64312,154,905,43,1536
SHORKOT,JHANG,TEHSIL,URBAN,11322,11248,11048,274,4360,6739,16,131,2,74
JHELUM,JHELUM,DISTRICT,OVERALL,229064,218939,178752,50312,45861,151613,12028,9233,145,10184
JHELUM,JHELUM,DISTRICT,RURAL,138838,131297,105245,33593,33247,86953,8958,2046,74,7560
JHELUM,JHELUM,DISTRICT,URBAN,90226,87642,73507,16719,12614,64660,3070,7187,71,2624
DINA,JHELUM,TEHSIL,OVERALL,44385,43117,35651,8734,3759,33314,4684,1256,33,1339
DINA,JHELUM,TEHSIL,RURAL,27616,26560,20912,6704,1973,20048,4395,50,29,1121
DINA,JHELUM,TEHSIL,URBAN,16769,16557,14739,2030,1786,13266,289,1206,4,218
JHELUM,JHELUM,TEHSIL,OVERALL,83046,81777,71565,11481,4902,68075,2142,6509,53,1365
JHELUM,JHELUM,TEHSIL,RURAL,31096,30603,26370,4726,2111,25757,884,1642,8,694
JHELUM,JHELUM,TEHSIL,URBAN,51950,51174,45195,6755,2791,42318,1258,4867,45,671
PIND DADAN KHAN,JHELUM,TEHSIL,OVERALL,63599,58850,45390,18209,33958,22795,667,1132,34,5013
PIND DADAN KHAN,JHELUM,TEHSIL,RURAL,52234,48323,38456,13778,26947,20130,641,348,15,4153
PIND DADAN KHAN,JHELUM,TEHSIL,URBAN,11365,10527,6934,4431,7011,2665,26,784,19,860
SOHAWA,JHELUM,TEHSIL,OVERALL,38034,35195,26146,11888,3242,27429,4535,336,25,2467
SOHAWA,JHELUM,TEHSIL,RURAL,27892,25811,19507,8385,2216,21018,3038,6,22,1592
SOHAWA,JHELUM,TEHSIL,URBAN,10142,9384,6639,3503,1026,6411,1497,330,3,875
KASUR,KASUR,DISTRICT,OVERALL,645308,631491,485439,159869,156320,432973,2997,33782,2375,16861
KASUR,KASUR,DISTRICT,RURAL,443044,436198,342113,100931,92951,324143,2590,13757,1451,8152
KASUR,KASUR,DISTRICT,URBAN,202264,195293,143326,58938,63369,108830,407,20025,924,8709
CHUNIAN,KASUR,TEHSIL,OVERALL,158898,156509,129605,29293,33100,117186,1404,4318,83,2807
CHUNIAN,KASUR,TEHSIL,RURAL,124649,123072,102151,22498,23019,96121,1325,2127,64,1993
CHUNIAN,KASUR,TEHSIL,URBAN,34249,33437,27454,6795,10081,21065,79,2191,19,814
KASUR,KASUR,TEHSIL,OVERALL,253446,245539,212866,40580,68517,166374,904,9309,249,8093
KASUR,KASUR,TEHSIL,RURAL,138105,135167,119410,18695,30006,103308,666,1257,48,2820
KASUR,KASUR,TEHSIL,URBAN,115341,110372,93456,21885,38511,63066,238,8052,201,5273
KOT RADHA KISHAN,KASUR,TEHSIL,OVERALL,61054,60237,47704,13350,17103,41599,196,1292,40,824
KOT RADHA KISHAN,KASUR,TEHSIL,RURAL,45584,45083,36246,9338,11866,32098,167,904,38,511
KOT RADHA KISHAN,KASUR,TEHSIL,URBAN,15470,15154,11458,4012,5237,9501,29,388,2,313
PATTOKI,KASUR,TEHSIL,OVERALL,171910,169206,95264,76646,37600,107814,493,18863,2003,5137
PATTOKI,KASUR,TEHSIL,RURAL,134706,132876,84306,50400,28060,92616,432,9469,1301,2828
PATTOKI,KASUR,TEHSIL,URBAN,37204,36330,10958,26246,9540,15198,61,9394,702,2309
