name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
KHANEWAL,KHANEWAL,TEHSIL,URBAN,50364,43079,48896,767,701,41444,2663
MIAN CHANNU,KHANEWAL,TEHSIL,OVERALL,145531,106564,131587,2492,11452,101292,18336
MIAN CHANNU,KHANEWAL,TEHSIL,RURAL,115495,81773,102281,2299,10915,77238,16742
MIAN CHANNU,KHANEWAL,TEHSIL,URBAN,30036,24791,29306,193,537,24054,1594
KHUSHAB,KHUSHAB,DISTRICT,OVERALL,248304,175122,203503,5964,38837,170448,43511
KHUSHAB,KHUSHAB,DISTRICT,RURAL,180583,119095,139038,5202,36343,115651,39633
KHUSHAB,KHUSHAB,DISTRICT,URBAN,67721,56027,64465,762,2494,54797,3878
KHUSHAB,KHUSHAB,TEHSIL,OVERALL,132388,98530,113670,3487,15231,95566,18220
KHUSHAB,KHUSHAB,TEHSIL,RURAL,74820,50686,58886,2829,13105,48891,14805
KHUSHAB,KHUSHAB,TEHSIL,URBAN,57568,47844,54784,658,2126,46675,3415
NOOR PUR,KHUSHAB,TEHSIL,OVERALL,51109,27708,35498,245,15366,26654,16366
NOOR PUR,KHUSHAB,TEHSIL,RURAL,47470,25277,32038,223,15209,24350,16045
NOOR PUR,KHUSHAB,TEHSIL,URBAN,3639,2431,3460,22,157,2304,321
NOWSHERA,KHUSHAB,TEHSIL,OVERALL,22280,19100,19423,1234,1623,18640,2114
NOWSHERA,KHUSHAB,TEHSIL,RURAL,19128,16323,16410,1199,1519,15851,2021
NOWSHERA,KHUSHAB,TEHSIL,URBAN,3152,2777,3013,35,104,2789,93
QUAIDABAD,KHUSHAB,TEHSIL,OVERALL,42527,29784,34912,998,6617,29588,6811
QUAIDABAD,KHUSHAB,TEHSIL,RURAL,39165,26809,31704,951,6510,26559,6762
QUAIDABAD,KHUSHAB,TEHSIL,URBAN,3362,2975,3208,47,107,3029,49
LAHORE,LAHORE,DISTRICT,OVERALL,2010225,1678820,1921046,52476,36703,1636565,83721
LAHORE,LAHORE,DISTRICT,RURAL,,,,,,,
LAHORE,LAHORE,DISTRICT,URBAN,2010225,1678820,1921046,52476,36703,1636565,83721
LAHORE CANTT,LAHORE,TEHSIL,OVERALL,296525,245580,285539,6714,4272,243139,7469
LAHORE CANTT,LAHORE,TEHSIL,RURAL,,,,,,,
LAHORE CANTT,LAHORE,TEHSIL,URBAN,296525,245580,285539,6714,4272,243139,7469
LAHORE CITY,LAHORE,TEHSIL,OVERALL,628597,525194,601797,17174,9626,507674,28312
LAHORE CITY,LAHORE,TEHSIL,RURAL,,,,,,,
LAHORE CITY,LAHORE,TEHSIL,URBAN,628597,525194,601797,17174,9626,507674,28312
MODEL TOWN,LAHORE,TEHSIL,OVERALL,492344,405000,466399,15279,10666,396166,21406
MODEL TOWN,LAHORE,TEHSIL,RURAL,,,,,,,
MODEL TOWN,LAHORE,TEHSIL,URBAN,492344,405000,466399,15279,10666,396166,21406
RAIWIND,LAHORE,TEHSIL,OVERALL,170679,141688,159959,5747,4973,138411,8991
RAIWIND,LAHORE,TEHSIL,RURAL,,,,,,,
RAIWIND,LAHORE,TEHSIL,URBAN,170679,141688,159959,5747,4973,138411,8991
SHALIMAR,LAHORE,TEHSIL,OVERALL,422080,361358,407352,7562,7166,351175,17543
SHALIMAR,LAHORE,TEHSIL,RURAL,,,,,,,
SHALIMAR,LAHORE,TEHSIL,URBAN,422080,361358,407352,7562,7166,351175,17543
LAYYAH,LAYYAH,DISTRICT,OVERALL,341131,224076,294042,6382,40707,202593,71764
LAYYAH,LAYYAH,DISTRICT,RURAL,277326,170968,233316,5736,38274,151952,66545
LAYYAH,LAYYAH,DISTRICT,URBAN,63805,53108,60726,646,2433,50641,5219
CHOUBARA,LAYYAH,TEHSIL,OVERALL,44032,24821,30601,576,12855,24478,13524
CHOUBARA,LAYYAH,TEHSIL,RURAL,35400,18787,23452,524,11424,18601,11830
