district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
DERA BUGTI,50,1452,718,734,,1083,530,553,,369,188,181,
DERA BUGTI,51,1329,626,703,,909,436,473,,420,190,230,
DERA BUGTI,52,1268,646,622,,838,438,400,,430,208,222,
DERA BUGTI,53,1816,844,972,,1230,600,630,,586,244,342,
DERA BUGTI,54,1319,697,622,,850,447,403,,469,250,219,
DERA BUGTI,55,1231,613,618,,848,413,435,,383,200,183,
DERA BUGTI,56,1100,545,555,,730,363,367,,370,182,188,
DERA BUGTI,57,1010,535,475,,607,317,290,,403,218,185,
DERA BUGTI,58,1301,673,628,,896,462,434,,405,211,194,
DERA BUGTI,59,962,546,416,,622,353,269,,340,193,147,
DERA BUGTI,60,1142,615,527,,860,469,391,,282,146,136,
DERA BUGTI,61,842,453,389,,541,305,236,,301,148,153,
DERA BUGTI,62,773,428,345,,530,298,232,,243,130,113,
DERA BUGTI,63,1150,633,517,,796,449,347,,354,184,170,
DERA BUGTI,64,683,400,283,,481,285,196,,202,115,87,
DERA BUGTI,65,783,461,322,,567,332,235,,216,129,87,
DERA BUGTI,66,504,291,213,,351,206,145,,153,85,68,
DERA BUGTI,67,412,230,182,,257,153,104,,155,77,78,
DERA BUGTI,68,562,258,304,,392,190,202,,170,68,102,
DERA BUGTI,69,385,219,166,,260,159,101,,125,60,65,
DERA BUGTI,70,654,358,296,,504,283,221,,150,75,75,
DERA BUGTI,71,331,189,142,,219,136,83,,112,53,59,
DERA BUGTI,72,316,186,130,,209,128,81,,107,58,49,
DERA BUGTI,73,477,246,231,,341,187,154,,136,59,77,
DERA BUGTI,74,238,151,87,,177,121,56,,61,30,31,
DERA BUGTI,75 & ABOVE,1666,966,700,,1194,744,450,,472,222,250,
DUKI,ALL AGES,205044,107221,97775,48,195261,101940,93276,45,9783,5281,4499,3
DUKI,BELOW 1,2392,1159,1233,,2373,1152,1221,,19,7,12,
DUKI,01,5939,3063,2876,,5753,2949,2804,,186,114,72,
DUKI,02,8515,4399,4116,,8269,4285,3984,,246,114,132,
DUKI,03,8700,4560,4140,,8459,4440,4019,,241,120,121,
DUKI,04,9611,5012,4599,,9296,4862,4434,,315,150,165,
