name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
SALARZAI,TEHSIL,BAJAUR,RURAL,UN-INHABITED,1,,,,,Rural Localities
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,OVERALL,60,123719,62062,61656,1,Rural Localities
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,"5,000 AND ABOVE",3,20251,9997,10254,,Rural Localities
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,"2,000 -- 4,999",24,67267,33902,33364,1,Rural Localities
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,"1,000 -- 1,999",19,27146,13659,13487,,Rural Localities
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,500 -- 999,11,7876,3909,3967,,Rural Localities
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,200 -- 499,3,1179,595,584,,Rural Localities
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,LESS THAN 200,,,,,,Rural Localities
UTMAN KHEL,TEHSIL,BAJAUR,RURAL,UN-INHABITED,,,,,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,OVERALL,388,1309492,680031,629449,12,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,"5,000 AND ABOVE",77,967779,503531,464238,10,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,"2,000 -- 4,999",70,218866,112715,106149,2,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,"1,000 -- 1,999",47,68967,35835,33132,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,500 -- 999,38,27615,14319,13296,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,200 -- 499,58,18161,9368,8793,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,LESS THAN 200,95,8104,4263,3841,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,UN-INHABITED,3,,,,,Rural Localities
BAKKA KHEL,TEHSIL,BANNU,RURAL,OVERALL,17,192797,100034,92763,,Rural Localities
BAKKA KHEL,TEHSIL,BANNU,RURAL,"5,000 AND ABOVE",10,173900,90345,83555,,Rural Localities
BAKKA KHEL,TEHSIL,BANNU,RURAL,"2,000 -- 4,999",5,17593,9018,8575,,Rural Localities
BAKKA KHEL,TEHSIL,BANNU,RURAL,"1,000 -- 1,999",1,1296,665,631,,Rural Localities
BAKKA KHEL,TEHSIL,BANNU,RURAL,500 -- 999,,,,,,Rural Localities
BAKKA KHEL,TEHSIL,BANNU,RURAL,200 -- 499,,,,,,Rural Localities
BAKKA KHEL,TEHSIL,BANNU,RURAL,LESS THAN 200,1,8,6,2,,Rural Localities
BAKKA KHEL,TEHSIL,BANNU,RURAL,UN-INHABITED,,,,,,Rural Localities
BANNU,TEHSIL,BANNU,RURAL,OVERALL,148,596511,307240,289261,10,Rural Localities
BANNU,TEHSIL,BANNU,RURAL,"5,000 AND ABOVE",40,367973,189390,178575,8,Rural Localities
BANNU,TEHSIL,BANNU,RURAL,"2,000 -- 4,999",53,168268,86627,81639,2,Rural Localities
BANNU,TEHSIL,BANNU,RURAL,"1,000 -- 1,999",33,47760,24701,23059,,Rural Localities
BANNU,TEHSIL,BANNU,RURAL,500 -- 999,13,10034,5238,4796,,Rural Localities
BANNU,TEHSIL,BANNU,RURAL,200 -- 499,6,2234,1152,1082,,Rural Localities
BANNU,TEHSIL,BANNU,RURAL,LESS THAN 200,3,242,132,110,,Rural Localities
BANNU,TEHSIL,BANNU,RURAL,UN-INHABITED,,,,,,Rural Localities
DOMEL,TEHSIL,BANNU,RURAL,OVERALL,11,224428,120303,104125,,Rural Localities
DOMEL,TEHSIL,BANNU,RURAL,"5,000 AND ABOVE",10,220453,118227,102226,,Rural Localities
DOMEL,TEHSIL,BANNU,RURAL,"2,000 -- 4,999",1,3975,2076,1899,,Rural Localities
DOMEL,TEHSIL,BANNU,RURAL,"1,000 -- 1,999",,,,,,Rural Localities
DOMEL,TEHSIL,BANNU,RURAL,500 -- 999,,,,,,Rural Localities
DOMEL,TEHSIL,BANNU,RURAL,200 -- 499,,,,,,Rural Localities
DOMEL,TEHSIL,BANNU,RURAL,LESS THAN 200,,,,,,Rural Localities
DOMEL,TEHSIL,BANNU,RURAL,UN-INHABITED,,,,,,Rural Localities
KAKKI,TEHSIL,BANNU,RURAL,OVERALL,16,92021,47994,44026,1,Rural Localities
