name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BATAGRAM,DISTRICT,20 - 24,DIVORCED,28,25,3,,28,25,3,,,,,
BATAGRAM,DISTRICT,20 - 24,MARRIED,28387,18674,9713,,28387,18674,9713,,,,,
BATAGRAM,DISTRICT,20 - 24,NEVER MARRIED,19061,5058,14002,1,19061,5058,14002,1,,,,
BATAGRAM,DISTRICT,20 - 24,SEPERATION,12,7,5,,12,7,5,,,,,
BATAGRAM,DISTRICT,20 - 24,WIDOWED,72,40,32,,72,40,32,,,,,
BATAGRAM,DISTRICT,25 - 29,DIVORCED,43,29,14,,43,29,14,,,,,
BATAGRAM,DISTRICT,25 - 29,MARRIED,31297,17570,13727,,31297,17570,13727,,,,,
BATAGRAM,DISTRICT,25 - 29,NEVER MARRIED,5388,1297,4091,,5388,1297,4091,,,,,
BATAGRAM,DISTRICT,25 - 29,SEPERATION,17,8,9,,17,8,9,,,,,
BATAGRAM,DISTRICT,25 - 29,WIDOWED,146,85,61,,146,85,61,,,,,
BATAGRAM,DISTRICT,30 - 34,DIVORCED,24,15,9,,24,15,9,,,,,
BATAGRAM,DISTRICT,30 - 34,MARRIED,28422,15568,12854,,28422,15568,12854,,,,,
BATAGRAM,DISTRICT,30 - 34,NEVER MARRIED,1571,439,1130,2,1571,439,1130,2,,,,
BATAGRAM,DISTRICT,30 - 34,SEPERATION,15,10,5,,15,10,5,,,,,
BATAGRAM,DISTRICT,30 - 34,WIDOWED,180,130,50,,180,130,50,,,,,
BATAGRAM,DISTRICT,35 - 39,DIVORCED,23,14,9,,23,14,9,,,,,
BATAGRAM,DISTRICT,35 - 39,MARRIED,27262,14298,12964,,27262,14298,12964,,,,,
BATAGRAM,DISTRICT,35 - 39,NEVER MARRIED,661,212,449,,661,212,449,,,,,
BATAGRAM,DISTRICT,35 - 39,SEPERATION,12,3,9,,12,3,9,,,,,
BATAGRAM,DISTRICT,35 - 39,WIDOWED,273,205,68,,273,205,68,,,,,
BATAGRAM,DISTRICT,40 - 44,DIVORCED,21,15,6,,21,15,6,,,,,
BATAGRAM,DISTRICT,40 - 44,MARRIED,22968,12136,10832,,22968,12136,10832,,,,,
BATAGRAM,DISTRICT,40 - 44,NEVER MARRIED,364,121,242,1,364,121,242,1,,,,
BATAGRAM,DISTRICT,40 - 44,SEPERATION,9,8,1,,9,8,1,,,,,
BATAGRAM,DISTRICT,40 - 44,WIDOWED,515,435,80,,515,435,80,,,,,
BATAGRAM,DISTRICT,45 - 49,DIVORCED,12,6,6,,12,6,6,,,,,
BATAGRAM,DISTRICT,45 - 49,MARRIED,17141,8725,8416,,17141,8725,8416,,,,,
BATAGRAM,DISTRICT,45 - 49,NEVER MARRIED,168,57,110,1,168,57,110,1,,,,
BATAGRAM,DISTRICT,45 - 49,SEPERATION,20,17,3,,20,17,3,,,,,
BATAGRAM,DISTRICT,45 - 49,WIDOWED,640,536,104,,640,536,104,,,,,
BATAGRAM,DISTRICT,50 - 54,DIVORCED,7,6,1,,7,6,1,,,,,
BATAGRAM,DISTRICT,50 - 54,MARRIED,14762,7246,7516,,14762,7246,7516,,,,,
BATAGRAM,DISTRICT,50 - 54,NEVER MARRIED,104,45,57,2,104,45,57,2,,,,
BATAGRAM,DISTRICT,50 - 54,SEPERATION,10,9,1,,10,9,1,,,,,
BATAGRAM,DISTRICT,50 - 54,WIDOWED,865,726,139,,865,726,139,,,,,
BATAGRAM,DISTRICT,55 - 59,DIVORCED,3,3,,,3,3,,,,,,
BATAGRAM,DISTRICT,55 - 59,MARRIED,10893,4765,6128,,10893,4765,6128,,,,,
BATAGRAM,DISTRICT,55 - 59,NEVER MARRIED,68,25,43,,68,25,43,,,,,
BATAGRAM,DISTRICT,55 - 59,SEPERATION,6,5,1,,6,5,1,,,,,
BATAGRAM,DISTRICT,55 - 59,WIDOWED,896,759,137,,896,759,137,,,,,
BATAGRAM,DISTRICT,60 - 64,DIVORCED,4,4,,,4,4,,,,,,
BATAGRAM,DISTRICT,60 - 64,MARRIED,7650,3111,4539,,7650,3111,4539,,,,,
BATAGRAM,DISTRICT,60 - 64,NEVER MARRIED,45,20,25,,45,20,25,,,,,
BATAGRAM,DISTRICT,60 - 64,SEPERATION,10,6,4,,10,6,4,,,,,
BATAGRAM,DISTRICT,60 - 64,WIDOWED,1112,907,205,,1112,907,205,,,,,
BATAGRAM,DISTRICT,65 - 69,DIVORCED,4,2,2,,4,2,2,,,,,
