name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
NEW KARACHI,SUB-DIVISION,KARACHI CENTRAL,URBAN,,1165742,611178,554387,177,110.24,,,5.9,871245,4.99
NORTH NAZIMABAD,SUB-DIVISION,KARACHI CENTRAL,OVERALL,23,922413,486229,436037,147,111.51,40104.91,100,5.9,708598,4.51
NORTH NAZIMABAD,SUB-DIVISION,KARACHI CENTRAL,RURAL,,,,,,,,,,,
NORTH NAZIMABAD,SUB-DIVISION,KARACHI CENTRAL,URBAN,,922413,486229,436037,147,111.51,,,5.9,708598,4.51
KARACHI EAST,DISTRICT,KARACHI EAST,OVERALL,139,3921742,2084719,1836597,426,113.51,28213.97,100,5.9,2875315,5.32
KARACHI EAST,DISTRICT,KARACHI EAST,RURAL,,,,,,0,,,,,0
KARACHI EAST,DISTRICT,KARACHI EAST,URBAN,,3921742,2084719,1836597,426,113.51,,,5.9,2875315,5.32
FEROZABAD,SUB-DIVISION,KARACHI EAST,OVERALL,20,1167692,627873,539635,184,116.35,58384.6,100,6.4,761631,7.4
FEROZABAD,SUB-DIVISION,KARACHI EAST,RURAL,,,,,,,,,,,
FEROZABAD,SUB-DIVISION,KARACHI EAST,URBAN,,1167692,627873,539635,184,116.35,,,6.4,761631,7.4
GULSHAN-E-IQBAL,SUB-DIVISION,KARACHI EAST,OVERALL,29,979502,508770,470605,127,108.11,33775.93,100,5.4,841800,2.56
GULSHAN-E-IQBAL,SUB-DIVISION,KARACHI EAST,RURAL,,,,,,,,,,,
GULSHAN-E-IQBAL,SUB-DIVISION,KARACHI EAST,URBAN,,979502,508770,470605,127,108.11,,,5.4,841800,2.56
GULZAR-E-HIJRI,SUB-DIVISION,KARACHI EAST,OVERALL,79,1118534,601404,517052,78,116.31,14158.66,100,5.7,792451,5.93
GULZAR-E-HIJRI,SUB-DIVISION,KARACHI EAST,RURAL,,,,,,,,,,,
GULZAR-E-HIJRI,SUB-DIVISION,KARACHI EAST,URBAN,,1118534,601404,517052,78,116.31,,,5.7,792451,5.93
JAMSHED QUARTERS,SUB-DIVISION,KARACHI EAST,OVERALL,11,656014,346672,309305,37,112.08,59637.64,100,6.2,479433,5.38
JAMSHED QUARTERS,SUB-DIVISION,KARACHI EAST,RURAL,,,,,,,,,,,
JAMSHED QUARTERS,SUB-DIVISION,KARACHI EAST,URBAN,,656014,346672,309305,37,112.08,,,6.2,479433,5.38
KARACHI SOUTH,DISTRICT,KARACHI SOUTH,OVERALL,122,2329764,1240860,1088520,384,114,19096.43,100,5.4,1769230,4.71
KARACHI SOUTH,DISTRICT,KARACHI SOUTH,RURAL,,,,,,0,,,,,0
KARACHI SOUTH,DISTRICT,KARACHI SOUTH,URBAN,,2329764,1240860,1088520,384,114,,,5.4,1769230,4.71
ARAM BAGH,SUB-DIVISION,KARACHI SOUTH,OVERALL,4,237224,128413,108806,5,118.02,59306,100,5.3,128313,10.82
ARAM BAGH,SUB-DIVISION,KARACHI SOUTH,RURAL,,,,,,,,,,,
ARAM BAGH,SUB-DIVISION,KARACHI SOUTH,URBAN,,237224,128413,108806,5,118.02,,,5.3,128313,10.82
CIVIL LINES,SUB-DIVISION,KARACHI SOUTH,OVERALL,73,480480,265482,214800,198,123.59,6581.92,100,5,473119,.26
CIVIL LINES,SUB-DIVISION,KARACHI SOUTH,RURAL,,,,,,,,,,,
CIVIL LINES,SUB-DIVISION,KARACHI SOUTH,URBAN,,480480,265482,214800,198,123.59,,,5,473119,.26
GARDEN,SUB-DIVISION,KARACHI SOUTH,OVERALL,4,502819,263232,239546,41,109.89,125704.75,100,5.6,363967,5.55
GARDEN,SUB-DIVISION,KARACHI SOUTH,RURAL,,,,,,,,,,,
GARDEN,SUB-DIVISION,KARACHI SOUTH,URBAN,,502819,263232,239546,41,109.89,,,5.6,363967,5.55
LYARI,SUB-DIVISION,KARACHI SOUTH,OVERALL,6,949878,497768,451993,117,110.13,158313,100,5.6,661926,6.22
LYARI,SUB-DIVISION,KARACHI SOUTH,RURAL,,,,,,,,,,,
LYARI,SUB-DIVISION,KARACHI SOUTH,URBAN,,949878,497768,451993,117,110.13,,,5.6,661926,6.22
SADDAR,SUB-DIVISION,KARACHI SOUTH,OVERALL,35,159363,85965,73375,23,117.16,4553.23,100,5.5,141905,1.96
SADDAR,SUB-DIVISION,KARACHI SOUTH,RURAL,,,,,,,,,,,
