name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
KARAK,KARAK,DISTRICT,RURAL,88061,64744,13343,9974,21999,424,60578,5060,60090,12097
KARAK,KARAK,DISTRICT,URBAN,7936,7500,141,295,5555,249,1966,166,6315,424
BANDA DAUD SHAH,KARAK,TEHSIL,OVERALL,22259,15924,3342,2993,8350,75,12980,854,13752,3793
BANDA DAUD SHAH,KARAK,TEHSIL,RURAL,22259,15924,3342,2993,8350,75,12980,854,13752,3793
BANDA DAUD SHAH,KARAK,TEHSIL,URBAN,,,,,,,,,,
KARAK,KARAK,TEHSIL,OVERALL,39930,30691,4895,4344,12442,364,26053,1071,28304,5769
KARAK,KARAK,TEHSIL,RURAL,31994,23191,4754,4049,6887,115,24087,905,21989,5345
KARAK,KARAK,TEHSIL,URBAN,7936,7500,141,295,5555,249,1966,166,6315,424
TAKHT-E-NASRATI,KARAK,TEHSIL,OVERALL,33808,25629,5247,2932,6762,234,23511,3301,24349,2959
TAKHT-E-NASRATI,KARAK,TEHSIL,RURAL,33808,25629,5247,2932,6762,234,23511,3301,24349,2959
TAKHT-E-NASRATI,KARAK,TEHSIL,URBAN,,,,,,,,,,
KHYBER,KHYBER,DISTRICT,OVERALL,166805,54335,97549,14921,3507,10716,140041,12541,79684,22087
KHYBER,KHYBER,DISTRICT,RURAL,152977,49021,91078,12878,3178,6068,131812,11919,72386,19448
KHYBER,KHYBER,DISTRICT,URBAN,13828,5314,6471,2043,329,4648,8229,622,7298,2639
BARA,KHYBER,TEHSIL,OVERALL,76240,24441,43967,7832,604,199,71910,3527,41195,7353
BARA,KHYBER,TEHSIL,RURAL,76240,24441,43967,7832,604,199,71910,3527,41195,7353
BARA,KHYBER,TEHSIL,URBAN,,,,,,,,,,
JAMRUD,KHYBER,TEHSIL,OVERALL,37127,16045,18215,2867,600,2985,31858,1684,16191,6219
JAMRUD,KHYBER,TEHSIL,RURAL,28664,12226,15033,1405,341,392,26611,1320,11977,4440
JAMRUD,KHYBER,TEHSIL,URBAN,8463,3819,3182,1462,259,2593,5247,364,4214,1779
LANDI KOTAL,KHYBER,TEHSIL,OVERALL,47515,11659,33486,2370,2240,7508,33446,4321,18944,7814
LANDI KOTAL,KHYBER,TEHSIL,RURAL,42150,10164,30197,1789,2170,5453,30464,4063,15860,6954
LANDI KOTAL,KHYBER,TEHSIL,URBAN,5365,1495,3289,581,70,2055,2982,258,3084,860
MULLA GORI,KHYBER,TEHSIL,OVERALL,5923,2190,1881,1852,63,24,2827,3009,3354,701
MULLA GORI,KHYBER,TEHSIL,RURAL,5923,2190,1881,1852,63,24,2827,3009,3354,701
MULLA GORI,KHYBER,TEHSIL,URBAN,,,,,,,,,,
KOHAT,KOHAT,DISTRICT,OVERALL,169679,148926,14440,6313,61085,8177,98381,2036,118517,20034
KOHAT,KOHAT,DISTRICT,RURAL,127770,108405,13440,5925,31528,6056,88619,1567,83582,18616
KOHAT,KOHAT,DISTRICT,URBAN,41909,40521,1000,388,29557,2121,9762,469,34935,1418
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,OVERALL,18161,13993,3783,385,54,3293,14714,100,10906,2233
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,RURAL,18161,13993,3783,385,54,3293,14714,100,10906,2233
DARRA ADAM KHEL,KOHAT,SUB-DIVISION,URBAN,,,,,,,,,,
GUMBAT,KOHAT,TEHSIL,OVERALL,18466,15603,1910,953,5582,70,12665,149,11289,3508
GUMBAT,KOHAT,TEHSIL,RURAL,18466,15603,1910,953,5582,70,12665,149,11289,3508
GUMBAT,KOHAT,TEHSIL,URBAN,,,,,,,,,,
KOHAT,KOHAT,TEHSIL,OVERALL,111368,102883,5564,2921,54143,4574,51140,1511,81976,8413
KOHAT,KOHAT,TEHSIL,RURAL,75605,68132,4834,2639,25558,2681,46278,1088,52438,7354
KOHAT,KOHAT,TEHSIL,URBAN,35763,34751,730,282,28585,1893,4862,423,29538,1059
LACHI,KOHAT,TEHSIL,OVERALL,21684,16447,3183,2054,1306,240,19862,276,14346,5880
LACHI,KOHAT,TEHSIL,RURAL,15538,10677,2913,1948,334,12,14962,230,8949,5521
LACHI,KOHAT,TEHSIL,URBAN,6146,5770,270,106,972,228,4900,46,5397,359
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OVERALL,33983,5372,10436,18175,174,7,31621,2181,12803,7547
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,RURAL,33983,5372,10436,18175,174,7,31621,2181,12803,7547
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URBAN,,,,,,,,,,
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,OVERALL,19313,3038,5976,10299,98,3,17284,1928,6791,4069
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,RURAL,19313,3038,5976,10299,98,3,17284,1928,6791,4069
BATTAIRA,KOLAI PALAS KOHISTAN,SUB-DIVISION,URBAN,,,,,,,,,,
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,OVERALL,14670,2334,4460,7876,76,4,14337,253,6012,3478
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,RURAL,14670,2334,4460,7876,76,4,14337,253,6012,3478
PALAS,KOLAI PALAS KOHISTAN,SUB-DIVISION,URBAN,,,,,,,,,,
KURRAM,KURRAM,DISTRICT,OVERALL,94548,48577,39828,6143,1465,3547,87719,1817,45096,30846
KURRAM,KURRAM,DISTRICT,RURAL,89810,46745,37340,5725,1149,2811,84152,1698,42373,29836
KURRAM,KURRAM,DISTRICT,URBAN,4738,1832,2488,418,316,736,3567,119,2723,1010
