name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
BULAIDA,KECH,SUB-DIVISION,OVERALL,24326,14590,3963,5773,157,618,20272,3279,9511,2663
BULAIDA,KECH,SUB-DIVISION,RURAL,9038,3737,2000,3301,95,576,6781,1586,2939,1849
BULAIDA,KECH,SUB-DIVISION,URBAN,15288,10853,1963,2472,62,42,13491,1693,6572,814
DASHT,KECH,SUB-DIVISION,OVERALL,21083,393,12535,8155,160,1,20274,648,16178,1123
DASHT,KECH,SUB-DIVISION,RURAL,21083,393,12535,8155,160,1,20274,648,16178,1123
DASHT,KECH,SUB-DIVISION,URBAN,,,,,,,,,,
HOSHAB,KECH,SUB-TEHSIL,OVERALL,16755,6488,4698,5569,60,25,15916,754,11054,1003
HOSHAB,KECH,SUB-TEHSIL,RURAL,16755,6488,4698,5569,60,25,15916,754,11054,1003
HOSHAB,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,
MAND,KECH,TEHSIL,OVERALL,16348,15872,163,313,55,2355,13631,307,10284,316
MAND,KECH,TEHSIL,RURAL,16348,15872,163,313,55,2355,13631,307,10284,316
MAND,KECH,TEHSIL,URBAN,,,,,,,,,,
TUMP,KECH,SUB-DIVISION,OVERALL,38839,28477,1030,9332,206,4730,30919,2984,22676,4183
TUMP,KECH,SUB-DIVISION,RURAL,23040,14057,842,8141,117,629,20853,1441,13251,2709
TUMP,KECH,SUB-DIVISION,URBAN,15799,14420,188,1191,89,4101,10066,1543,9425,1474
TURBAT,KECH,SUB-DIVISION,OVERALL,100774,88161,5451,7162,1194,7887,87327,4366,55473,4019
TURBAT,KECH,SUB-DIVISION,RURAL,42826,34201,4091,4534,291,237,41357,941,24724,2472
TURBAT,KECH,SUB-DIVISION,URBAN,57948,53960,1360,2628,903,7650,45970,3425,30749,1547
ZAMORAN,KECH,SUB-TEHSIL,OVERALL,20961,398,8511,12052,128,7,18329,2497,5205,6234
ZAMORAN,KECH,SUB-TEHSIL,RURAL,20961,398,8511,12052,128,7,18329,2497,5205,6234
ZAMORAN,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,
KHARAN,KHARAN,DISTRICT,OVERALL,35843,21380,8586,5877,183,370,33283,2007,23625,2639
KHARAN,KHARAN,DISTRICT,RURAL,24823,10839,8343,5641,128,54,22936,1705,16925,2486
KHARAN,KHARAN,DISTRICT,URBAN,11020,10541,243,236,55,316,10347,302,6700,153
KHARAN,KHARAN,SUB-DIVISION,OVERALL,14023,12248,966,809,65,316,13224,418,8896,383
KHARAN,KHARAN,SUB-DIVISION,RURAL,3003,1707,723,573,10,,2877,116,2196,230
KHARAN,KHARAN,SUB-DIVISION,URBAN,11020,10541,243,236,55,316,10347,302,6700,153
PATKAIN,KHARAN,SUB-TEHSIL,OVERALL,3598,1240,1688,670,9,10,3568,11,2314,205
PATKAIN,KHARAN,SUB-TEHSIL,RURAL,3598,1240,1688,670,9,10,3568,11,2314,205
PATKAIN,KHARAN,SUB-TEHSIL,URBAN,,,,,,,,,,
SAR KHARAN,KHARAN,SUB-DIVISION,OVERALL,11432,6638,2900,1894,79,26,10395,932,7429,853
SAR KHARAN,KHARAN,SUB-DIVISION,RURAL,11432,6638,2900,1894,79,26,10395,932,7429,853
SAR KHARAN,KHARAN,SUB-DIVISION,URBAN,,,,,,,,,,
TOHMULK,KHARAN,SUB-TEHSIL,OVERALL,6790,1254,3032,2504,30,18,6096,646,4986,1198
TOHMULK,KHARAN,SUB-TEHSIL,RURAL,6790,1254,3032,2504,30,18,6096,646,4986,1198
TOHMULK,KHARAN,SUB-TEHSIL,URBAN,,,,,,,,,,
KHUZDAR,KHUZDAR,DISTRICT,OVERALL,161450,58171,69317,33962,1308,4044,139138,16960,107880,17653
KHUZDAR,KHUZDAR,DISTRICT,RURAL,111846,18258,64004,29584,729,368,99700,11049,76131,15758
KHUZDAR,KHUZDAR,DISTRICT,URBAN,49604,39913,5313,4378,579,3676,39438,5911,31749,1895
ARANJI,KHUZDAR,SUB-TEHSIL,OVERALL,10012,676,5128,4208,47,,9352,613,5773,2607
ARANJI,KHUZDAR,SUB-TEHSIL,RURAL,10012,676,5128,4208,47,,9352,613,5773,2607
ARANJI,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,,
GRESHA,KHUZDAR,SUB-TEHSIL,OVERALL,9920,202,6236,3482,48,70,8537,1265,6481,835
GRESHA,KHUZDAR,SUB-TEHSIL,RURAL,9920,202,6236,3482,48,70,8537,1265,6481,835
GRESHA,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,,
KARAKH,KHUZDAR,SUB-DIVISION,OVERALL,6723,2196,2512,2015,55,6,6096,566,4404,1115
KARAKH,KHUZDAR,SUB-DIVISION,RURAL,6723,2196,2512,2015,55,6,6096,566,4404,1115
KARAKH,KHUZDAR,SUB-DIVISION,URBAN,,,,,,,,,,
KHUZDAR,KHUZDAR,SUB-DIVISION,OVERALL,54451,26892,20062,7497,687,3333,41736,8695,36449,3377
KHUZDAR,KHUZDAR,SUB-DIVISION,RURAL,23672,2875,16339,4458,229,107,19099,4237,17281,1974
KHUZDAR,KHUZDAR,SUB-DIVISION,URBAN,30779,24017,3723,3039,458,3226,22637,4458,19168,1403
MOOLA,KHUZDAR,SUB-TEHSIL,OVERALL,4086,31,3358,697,18,3,3787,278,2004,635
MOOLA,KHUZDAR,SUB-TEHSIL,RURAL,4086,31,3358,697,18,3,3787,278,2004,635
MOOLA,KHUZDAR,SUB-TEHSIL,URBAN,,,,,,,,,,
NAL,KHUZDAR,SUB-DIVISION,OVERALL,15283,7407,5890,1986,76,57,14233,917,11846,885
NAL,KHUZDAR,SUB-DIVISION,RURAL,9116,2119,5360,1637,60,19,8443,594,7351,806
NAL,KHUZDAR,SUB-DIVISION,URBAN,6167,5288,530,349,16,38,5790,323,4495,79
ORNACH,KHUZDAR,SUB-DIVISION,OVERALL,13078,47,6410,6621,84,9,12019,966,9298,3601
ORNACH,KHUZDAR,SUB-DIVISION,RURAL,13078,47,6410,6621,84,9,12019,966,9298,3601
ORNACH,KHUZDAR,SUB-DIVISION,URBAN,,,,,,,,,,
SAROONA,KHUZDAR,SUB-TEHSIL,OVERALL,6480,7,4759,1714,22,60,6004,394,4525,1746
SAROONA,KHUZDAR,SUB-TEHSIL,RURAL,6480,7,4759,1714,22,60,6004,394,4525,1746
