name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
SHORKOT,JHANG,TEHSIL,OVERALL,93820,86212,2679,3873,322,61,673,89425,3339,21709,33615,19582,18914
SHORKOT,JHANG,TEHSIL,RURAL,82498,76908,1038,3620,248,52,632,78842,2724,19627,29852,16755,16264
SHORKOT,JHANG,TEHSIL,URBAN,11322,9304,1641,253,74,9,41,10583,615,2082,3763,2827,2650
JHELUM,JHELUM,DISTRICT,OVERALL,229064,194438,22336,6514,4424,386,966,209173,14115,22990,70206,63848,72020
JHELUM,JHELUM,DISTRICT,RURAL,138838,129518,4369,4153,126,154,518,129359,8681,15323,42762,37471,43282
JHELUM,JHELUM,DISTRICT,URBAN,90226,64920,17967,2361,4298,232,448,79814,5434,7667,27444,26377,28738
DINA,JHELUM,TEHSIL,OVERALL,44385,35790,5183,1301,1926,32,153,39855,2419,2985,10796,12964,17640
DINA,JHELUM,TEHSIL,RURAL,27616,25207,1338,925,32,27,87,25882,1588,1741,6127,7847,11901
DINA,JHELUM,TEHSIL,URBAN,16769,10583,3845,376,1894,5,66,13973,831,1244,4669,5117,5739
JHELUM,JHELUM,TEHSIL,OVERALL,83046,64082,13569,2694,2331,67,303,75232,5113,7000,25161,23663,27222
JHELUM,JHELUM,TEHSIL,RURAL,31096,28256,1491,1197,43,13,96,29083,1861,3064,9087,8524,10421
JHELUM,JHELUM,TEHSIL,URBAN,51950,35826,12078,1497,2288,54,207,46149,3252,3936,16074,15139,16801
