name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
KAROR LAL ESAN,LAYYAH,TEHSIL,RURAL,REGULAR,593907,305950,287953,4,95119,99.97
KAROR LAL ESAN,LAYYAH,TEHSIL,RURAL,INSTITUTIONAL,127,118,9,,14,.01
KAROR LAL ESAN,LAYYAH,TEHSIL,RURAL,HOMELESS,53,32,21,,14,.01
KAROR LAL ESAN,LAYYAH,TEHSIL,RURAL,TOTAL,594087,306100,287983,4,95147,100
KAROR LAL ESAN,LAYYAH,TEHSIL,URBAN,REGULAR,90495,45904,44556,35,14648,99.95
KAROR LAL ESAN,LAYYAH,TEHSIL,URBAN,INSTITUTIONAL,108,91,17,,6,.04
KAROR LAL ESAN,LAYYAH,TEHSIL,URBAN,HOMELESS,27,16,11,,1,.01
KAROR LAL ESAN,LAYYAH,TEHSIL,URBAN,TOTAL,90630,46011,44584,35,14655,100
LAYYAH,LAYYAH,TEHSIL,OVERALL,REGULAR,1117595,573874,543676,45,187333,99.95999999999999
LAYYAH,LAYYAH,TEHSIL,OVERALL,INSTITUTIONAL,372,347,24,1,42,.02
LAYYAH,LAYYAH,TEHSIL,OVERALL,HOMELESS,608,322,286,,29,.02
LAYYAH,LAYYAH,TEHSIL,OVERALL,TOTAL,1118575,574543,543986,46,187404,100
LAYYAH,LAYYAH,TEHSIL,RURAL,REGULAR,879086,451895,427161,30,146807,99.97
LAYYAH,LAYYAH,TEHSIL,RURAL,INSTITUTIONAL,272,256,16,,25,.02
LAYYAH,LAYYAH,TEHSIL,RURAL,HOMELESS,567,302,265,,23,.02
LAYYAH,LAYYAH,TEHSIL,RURAL,TOTAL,879925,452453,427442,30,146855,100
LAYYAH,LAYYAH,TEHSIL,URBAN,REGULAR,238509,121979,116515,15,40526,99.94
LAYYAH,LAYYAH,TEHSIL,URBAN,INSTITUTIONAL,100,91,8,1,17,.04
LAYYAH,LAYYAH,TEHSIL,URBAN,HOMELESS,41,20,21,,6,.01
LAYYAH,LAYYAH,TEHSIL,URBAN,TOTAL,238650,122090,116544,16,40549,100
LODHRAN,LODHRAN,DISTRICT,OVERALL,REGULAR,1922690,994653,927921,116,323870,99.95
LODHRAN,LODHRAN,DISTRICT,OVERALL,INSTITUTIONAL,1768,1196,572,,60,.02
LODHRAN,LODHRAN,DISTRICT,OVERALL,HOMELESS,1899,1065,833,1,90,.03
LODHRAN,LODHRAN,DISTRICT,OVERALL,TOTAL,1926357,996914,929326,117,324020,100
LODHRAN,LODHRAN,DISTRICT,RURAL,REGULAR,1600552,829130,771373,49,267055,99.95999999999999
LODHRAN,LODHRAN,DISTRICT,RURAL,INSTITUTIONAL,905,677,228,,37,.01
LODHRAN,LODHRAN,DISTRICT,RURAL,HOMELESS,1698,952,746,,77,.03
LODHRAN,LODHRAN,DISTRICT,RURAL,TOTAL,1603155,830759,772347,49,267169,100
LODHRAN,LODHRAN,DISTRICT,URBAN,REGULAR,322138,165523,156548,67,56815,99.94
LODHRAN,LODHRAN,DISTRICT,URBAN,INSTITUTIONAL,863,519,344,,23,.04
LODHRAN,LODHRAN,DISTRICT,URBAN,HOMELESS,201,113,87,1,13,.02
LODHRAN,LODHRAN,DISTRICT,URBAN,TOTAL,323202,166155,156979,68,56851,100
