name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,18 &  ABOVE,1443738,774944,668425,369,,,,,1443738,774944,668425,369
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,60 &  ABOVE,166696,92899,73778,19,,,,,166696,92899,73778,19
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,65 &  ABOVE,105428,58423,46991,14,,,,,105428,58423,46991,14
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,ALL AGES,237224,128413,108806,5,,,,,237224,128413,108806,5
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,UNDER 1,2493,1291,1202,,,,,,2493,1291,1202,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,UNDER 5,23115,12184,10931,,,,,,23115,12184,10931,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,UNDER 10,46233,24285,21948,,,,,,46233,24285,21948,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,UNDER 15,74151,39228,34923,,,,,,74151,39228,34923,
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,05 - 24,96481,52002,44478,1,,,,,96481,52002,44478,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,15 - 49,129332,69824,59506,2,,,,,129332,69824,59506,2
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,15 - 64,153384,83729,69651,4,,,,,153384,83729,69651,4
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,18 - 60,131169,71301,59864,4,,,,,131169,71301,59864,4
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,18 &  ABOVE,145254,79274,65975,5,,,,,145254,79274,65975,5
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,60 &  ABOVE,15648,8873,6774,1,,,,,15648,8873,6774,1
ARAM BAGH,KARACHI SOUTH,SUB-DIVISION,65 &  ABOVE,9689,5456,4232,1,,,,,9689,5456,4232,1
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,ALL AGES,480480,265482,214800,198,,,,,480480,265482,214800,198
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,UNDER 1,5779,2970,2809,,,,,,5779,2970,2809,
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,UNDER 5,44047,23151,20896,,,,,,44047,23151,20896,
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,UNDER 10,87746,45848,41898,,,,,,87746,45848,41898,
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,UNDER 15,133339,70669,62668,2,,,,,133339,70669,62668,2
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,05 - 24,179100,97613,81444,43,,,,,179100,97613,81444,43
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,15 - 49,265846,148383,117281,182,,,,,265846,148383,117281,182
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,15 - 64,320332,179661,140480,191,,,,,320332,179661,140480,191
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,18 - 60,282541,158740,123617,184,,,,,282541,158740,123617,184
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,18 &  ABOVE,319628,179676,139763,189,,,,,319628,179676,139763,189
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,60 &  ABOVE,40791,23098,17687,6,,,,,40791,23098,17687,6
CIVIL LINES,KARACHI SOUTH,SUB-DIVISION,65 &  ABOVE,26809,15152,11652,5,,,,,26809,15152,11652,5
GARDEN,KARACHI SOUTH,SUB-DIVISION,ALL AGES,502819,263232,239546,41,,,,,502819,263232,239546,41
GARDEN,KARACHI SOUTH,SUB-DIVISION,UNDER 1,9207,4772,4435,,,,,,9207,4772,4435,
GARDEN,KARACHI SOUTH,SUB-DIVISION,UNDER 5,58089,29657,28432,,,,,,58089,29657,28432,
GARDEN,KARACHI SOUTH,SUB-DIVISION,UNDER 10,114928,59097,55831,,,,,,114928,59097,55831,
GARDEN,KARACHI SOUTH,SUB-DIVISION,UNDER 15,167911,86944,80967,,,,,,167911,86944,80967,
GARDEN,KARACHI SOUTH,SUB-DIVISION,05 - 24,197596,103337,94251,8,,,,,197596,103337,94251,8
GARDEN,KARACHI SOUTH,SUB-DIVISION,15 - 49,255322,132466,122823,33,,,,,255322,132466,122823,33
