name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
BHAG,KACHHI,SUB-DIVISION,OVERALL,16312,371,301,16011,27,165,839,67,9,15205
BHAG,KACHHI,SUB-DIVISION,RURAL,12865,332,284,12581,23,133,818,66,8,11817
BHAG,KACHHI,SUB-DIVISION,URBAN,3447,39,17,3430,4,32,21,1,1,3388
DHADAR,KACHHI,SUB-DIVISION,OVERALL,7176,3065,2688,4488,2583,161,199,1,4,4228
DHADAR,KACHHI,SUB-DIVISION,RURAL,4361,1371,1012,3349,910,143,196,1,4,3107
DHADAR,KACHHI,SUB-DIVISION,URBAN,2815,1694,1676,1139,1673,18,3,,,1121
KHATTAN,KACHHI,SUB-TEHSIL,OVERALL,2723,59,34,2689,11,22,102,9,1,2578
KHATTAN,KACHHI,SUB-TEHSIL,RURAL,2723,59,34,2689,11,22,102,9,1,2578
KHATTAN,KACHHI,SUB-TEHSIL,URBAN,,,,,,,,,,
MACH,KACHHI,SUB-DIVISION,OVERALL,5699,4574,3525,2174,3239,399,460,,,1601
MACH,KACHHI,SUB-DIVISION,RURAL,3379,2323,1325,2054,1077,367,389,,,1546
MACH,KACHHI,SUB-DIVISION,URBAN,2320,2251,2200,120,2162,32,71,,,55
SANNI,KACHHI,SUB-DIVISION,OVERALL,11599,3878,3329,8270,2036,878,1147,5,59,7474
SANNI,KACHHI,SUB-DIVISION,RURAL,11599,3878,3329,8270,2036,878,1147,5,59,7474
SANNI,KACHHI,SUB-DIVISION,URBAN,,,,,,,,,,
KALAT,KALAT,DISTRICT,OVERALL,33101,19408,8260,24841,9401,5166,8103,9,69,10353
KALAT,KALAT,DISTRICT,RURAL,27903,14340,5278,22625,4694,4957,8057,9,69,10117
KALAT,KALAT,DISTRICT,URBAN,5198,5068,2982,2216,4707,209,46,,,236
GAZG,KALAT,SUB-TEHSIL,OVERALL,1274,170,60,1214,93,36,156,,,989
GAZG,KALAT,SUB-TEHSIL,RURAL,1274,170,60,1214,93,36,156,,,989
GAZG,KALAT,SUB-TEHSIL,URBAN,,,,,,,,,,
JOHAN,KALAT,SUB-TEHSIL,OVERALL,2486,662,415,2071,116,47,1065,,7,1251
JOHAN,KALAT,SUB-TEHSIL,RURAL,2486,662,415,2071,116,47,1065,,7,1251
JOHAN,KALAT,SUB-TEHSIL,URBAN,,,,,,,,,,
KALAT,KALAT,SUB-DIVISION,OVERALL,20124,12756,5550,14574,7084,3558,4288,4,16,5174
