name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
BARKHAN,TEHSIL,BARKHAN,RURAL,OVERALL,131,195824,102226,93591,7,Rural Localities
BARKHAN,TEHSIL,BARKHAN,RURAL,"5,000 AND ABOVE",5,42829,22201,20627,1,Rural Localities
BARKHAN,TEHSIL,BARKHAN,RURAL,"2,000 -- 4,999",17,50920,25928,24991,1,Rural Localities
BARKHAN,TEHSIL,BARKHAN,RURAL,"1,000 -- 1,999",42,57779,30636,27140,3,Rural Localities
BARKHAN,TEHSIL,BARKHAN,RURAL,500 -- 999,49,37926,20097,17829,,Rural Localities
BARKHAN,TEHSIL,BARKHAN,RURAL,200 -- 499,17,6370,3364,3004,2,Rural Localities
BARKHAN,TEHSIL,BARKHAN,RURAL,LESS THAN 200,,,,,,Rural Localities
BARKHAN,TEHSIL,BARKHAN,RURAL,UN-INHABITED,1,,,,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,OVERALL,48,249138,129664,119469,5,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,"5,000 AND ABOVE",15,197284,103029,94251,4,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,"2,000 -- 4,999",9,31168,15996,15171,1,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,"1,000 -- 1,999",10,13004,6701,6303,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,500 -- 999,8,6123,3113,3010,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,200 -- 499,4,1213,656,557,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,LESS THAN 200,2,346,169,177,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,UN-INHABITED,,,,,,Rural Localities
CHAGAI,TEHSIL,CHAGAI,RURAL,OVERALL,10,73482,37067,36412,3,Rural Localities
CHAGAI,TEHSIL,CHAGAI,RURAL,"5,000 AND ABOVE",5,67119,33953,33163,3,Rural Localities
CHAGAI,TEHSIL,CHAGAI,RURAL,"2,000 -- 4,999",1,3624,1789,1835,,Rural Localities
CHAGAI,TEHSIL,CHAGAI,RURAL,"1,000 -- 1,999",2,2276,1107,1169,,Rural Localities
CHAGAI,TEHSIL,CHAGAI,RURAL,500 -- 999,,,,,,Rural Localities
CHAGAI,TEHSIL,CHAGAI,RURAL,200 -- 499,1,277,128,149,,Rural Localities
CHAGAI,TEHSIL,CHAGAI,RURAL,LESS THAN 200,1,186,90,96,,Rural Localities
CHAGAI,TEHSIL,CHAGAI,RURAL,UN-INHABITED,,,,,,Rural Localities
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,OVERALL,17,102864,53447,49416,1,Rural Localities
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,"5,000 AND ABOVE",7,87473,45612,41860,1,Rural Localities
