name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,25 - 29,AFGHANI,19,14,5,12,11,1,7,3,4,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,25 - 29,BENGALI,2,2,,2,2,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,25 - 29,CHINESE,1,1,,,,,1,1,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,25 - 29,OTHERS,30,23,7,23,19,4,7,4,3,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,25 - 29,PAKISTANI,94080,66062,28018,45436,31992,13444,48641,34069,14572,3,1,2
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,30 - 34,AFGHANI,26,18,8,17,11,6,9,7,2,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,30 - 34,BENGALI,2,1,1,1,,1,1,1,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,30 - 34,CHINESE,2,1,1,2,1,1,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,30 - 34,OTHERS,26,21,5,13,12,1,13,9,4,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,30 - 34,PAKISTANI,80581,56427,24154,40628,28443,12185,39948,27983,11965,5,1,4
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,35 - 39,AFGHANI,17,11,6,12,9,3,5,2,3,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,35 - 39,BENGALI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,35 - 39,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,35 - 39,OTHERS,14,11,3,9,8,1,5,3,2,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,35 - 39,PAKISTANI,75503,53048,22455,37013,26059,10954,38488,26989,11499,2,,2
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,40 - 44,AFGHANI,16,12,4,7,6,1,9,6,3,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,40 - 44,BENGALI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,40 - 44,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,40 - 44,OTHERS,13,10,3,8,7,1,5,3,2,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,40 - 44,PAKISTANI,70906,50453,20453,34145,24257,9888,36756,26195,10561,5,1,4
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,45 - 49,AFGHANI,13,10,3,9,7,2,4,3,1,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,45 - 49,BENGALI,2,2,,2,2,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,45 - 49,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,45 - 49,OTHERS,22,19,3,14,13,1,8,6,2,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,45 - 49,PAKISTANI,51244,36279,14965,25016,17783,7233,26225,18495,7730,3,1,2
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,50 - 54,AFGHANI,8,6,2,6,5,1,2,1,1,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,50 - 54,BENGALI,1,,1,,,,1,,1,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,50 - 54,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,50 - 54,OTHERS,16,12,4,8,6,2,8,6,2,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,50 - 54,PAKISTANI,41829,29764,12065,20387,14554,5833,21440,15210,6230,2,,2
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,55 - 59,AFGHANI,8,1,7,6,1,5,2,,2,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,55 - 59,BENGALI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,55 - 59,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,55 - 59,OTHERS,10,9,1,5,5,,5,4,1,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,55 - 59,PAKISTANI,32404,22998,9406,15146,10773,4373,17257,12225,5032,1,,1
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,60 - 64,AFGHANI,5,2,3,3,1,2,2,1,1,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,60 - 64,BENGALI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,60 - 64,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,60 - 64,OTHERS,10,8,2,6,4,2,4,4,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,60 - 64,PAKISTANI,24817,17503,7314,12167,8561,3606,12649,8941,3708,1,1,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,65 - 69,AFGHANI,2,2,,2,2,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,65 - 69,BENGALI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,65 - 69,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,65 - 69,OTHERS,3,2,1,3,2,1,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,65 - 69,PAKISTANI,17751,12640,5111,8641,6100,2541,9110,6540,2570,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,70 - 74,AFGHANI,7,3,4,2,1,1,5,2,3,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,70 - 74,BENGALI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,70 - 74,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,70 - 74,OTHERS,6,3,3,3,2,1,3,1,2,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,70 - 74,PAKISTANI,13252,9533,3719,6327,4484,1843,6925,5049,1876,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,75 & ABOVE,AFGHANI,1,1,,1,1,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,75 & ABOVE,BENGALI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,75 & ABOVE,CHINESE,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,75 & ABOVE,OTHERS,3,3,,1,1,,2,2,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,75 & ABOVE,PAKISTANI,11786,8561,3225,5649,3973,1676,6137,4588,1549,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,ALL AGES,AFGHANI,226,150,76,117,84,33,109,66,43,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,ALL AGES,BENGALI,13,10,3,9,7,2,4,3,1,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,ALL AGES,CHINESE,5,3,2,3,2,1,2,1,1,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,ALL AGES,OTHERS,294,236,58,161,134,27,133,102,31,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,ALL AGES,PAKISTANI,1514331,1092605,421726,723420,521085,202335,790868,571505,219363,43,15,28
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,00 - 04,AFGHANI,457,,457,211,,211,246,,246,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,00 - 04,BENGALI,276,,276,109,,109,167,,167,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,00 - 04,CHINESE,2,,2,,,,2,,2,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,00 - 04,OTHERS,300,,300,133,,133,167,,167,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,00 - 04,PAKISTANI,485279,,485279,231332,,231332,253947,,253947,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,05 - 09,AFGHANI,436,,436,202,,202,234,,234,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,05 - 09,BENGALI,262,,262,124,,124,138,,138,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,05 - 09,CHINESE,2,,2,,,,2,,2,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,05 - 09,OTHERS,304,,304,160,,160,144,,144,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,05 - 09,PAKISTANI,411065,,411065,196135,,196135,214930,,214930,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,10 - 14,AFGHANI,464,,464,185,,185,279,,279,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,10 - 14,BENGALI,283,,283,141,,141,142,,142,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,10 - 14,CHINESE,3,,3,2,,2,1,,1,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,10 - 14,OTHERS,306,,306,125,,125,181,,181,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,10 - 14,PAKISTANI,412986,,412986,192559,,192559,220413,,220413,14,,14
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,15 - 19,AFGHANI,445,,445,150,,150,295,,295,,,
